에이치엔티(176440),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2016-11-28,6050,6200,5250,5275,3404649,70697.0,6701100.0
2016-11-29,5375,5425,4755,4805,1351889,64398.0,6701100.0
2016-11-30,4835,4885,4525,4595,595301,61583.0,6701100.0
2016-12-01,4555,4700,4485,4495,530734,60243.0,6701100.0
2016-12-02,4525,4660,4410,4515,357044,60511.0,6701100.0
2016-12-05,4455,4490,4135,4135,277911,55418.0,6701100.0
2016-12-06,4170,4225,4030,4050,200224,54279.0,6701100.0
2016-12-07,4075,4280,3845,3885,423380,52068.0,6701100.0
2016-12-08,3960,4015,3805,3945,213758,52872.0,6701100.0
2016-12-09,4030,4125,3910,3920,337277,52537.0,6701100.0
2016-12-12,4000,4050,3955,4015,160600,53810.0,6701100.0
2016-12-13,4015,4485,4015,4270,828201,57227.0,6701100.0
2016-12-14,4390,4620,4310,4310,632891,57763.0,6701100.0
2016-12-15,4340,4600,4330,4595,273343,61583.0,6701100.0
2016-12-16,4610,4625,4385,4505,217054,60377.0,6701100.0
2016-12-19,4500,4515,4420,4440,62649,59506.0,6701100.0
2016-12-20,4515,4555,4295,4305,96994,57696.0,6701100.0
2016-12-21,4330,4365,4170,4200,97831,56289.0,6701100.0
2016-12-22,4210,4235,4100,4100,64252,54949.0,6701100.0
2016-12-23,4055,4450,4055,4425,116718,59305.0,6701100.0
2016-12-26,4360,4445,4325,4325,57058,57965.0,6701100.0
2016-12-27,4375,4375,4280,4290,41054,57495.0,6701100.0
2016-12-28,4280,4340,4255,4270,51122,57227.0,6701100.0
2016-12-29,4230,4305,4180,4180,45881,56021.0,6701100.0
2017-01-02,4160,4350,4160,4300,52975,57629.0,6701100.0
2017-01-03,4300,4530,4275,4490,118448,60176.0,6701100.0
2017-01-04,4515,4595,4405,4500,104275,60310.0,6701100.0
2017-01-05,4500,4605,4465,4550,94747,60980.0,6701100.0
2017-01-06,4625,5075,4620,4950,782354,66341.0,6701100.0
2017-01-09,5050,5150,4910,5025,202735,67346.0,6701100.0
2017-01-10,4990,5050,4825,4825,105475,64666.0,6701100.0
2017-01-11,4850,6250,4850,6250,2474145,83764.0,6701100.0
2017-01-12,6175,6275,5775,5900,926891,79073.0,6701100.0
2017-01-13,5875,6075,5625,5925,733545,79408.0,6701100.0
2017-01-16,5925,6075,5750,5925,331988,79408.0,6701100.0
2017-01-17,5850,5950,5475,5575,349283,74717.0,6701100.0
2017-01-18,5600,5725,5425,5550,190818,74382.0,6701100.0
2017-01-19,5575,5675,5400,5600,180791,75052.0,6701100.0
2017-01-20,5525,5650,5250,5275,197739,70697.0,6701100.0
2017-01-23,5275,5375,5200,5375,116352,72037.0,6701100.0
2017-01-24,5325,6375,5275,5775,1635344,77398.0,6701100.0
2017-01-25,5700,5975,5625,5825,321037,78068.0,6701100.0
2017-01-26,5925,6150,5525,5750,355012,77063.0,6701100.0
2017-01-31,5825,6050,5674,5950,199644,79743.0,6701100.0
2017-02-01,6025,6175,5800,5900,285427,79073.0,6701100.0
2017-02-02,5850,5925,5575,5650,144808,75722.0,6701100.0
2017-02-03,5600,5700,5200,5200,217532,69691.0,6701100.0
2017-02-06,5275,5700,5250,5450,170833,73042.0,6701100.0
2017-02-07,5450,5600,5350,5600,84935,75052.0,6701100.0
2017-02-08,5650,5650,5400,5450,55929,73042.0,6701100.0
2017-02-09,5500,5575,5350,5575,39048,74717.0,6701100.0
2017-02-10,5575,5675,5450,5550,41023,74382.0,6701100.0
2017-02-13,5775,5800,5525,5525,90229,74047.0,6701100.0
2017-02-14,5550,5675,5350,5350,52940,71702.0,6701100.0
2017-02-15,5400,5500,5225,5300,58988,71032.0,6701100.0
2017-02-16,5325,5425,5175,5300,55879,71032.0,6701100.0
2017-02-17,5325,5350,5200,5275,35998,70697.0,6701100.0
2017-02-20,5300,5350,5050,5125,45442,68686.0,6701100.0
2017-02-21,5125,5300,5100,5300,38940,71032.0,6701100.0
2017-02-22,5325,5350,5200,5200,30848,69691.0,6701100.0
