세미콘라이트(214310),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-06-25,1878,2442,1829,2442,2553115,77740.0,5200000.0
2015-06-26,2596,3159,2433,2941,2679252,93600.0,5200000.0
2015-06-29,2736,2906,2335,2352,735195,74880.0,5200000.0
2015-06-30,2360,2785,2303,2467,699379,78520.0,5200000.0
2015-07-01,2481,2605,2383,2516,286746,80080.0,5200000.0
2015-07-02,2514,2547,2376,2410,217239,76700.0,5200000.0
2015-07-03,2384,2826,2360,2696,314285,85800.0,5200000.0
2015-07-06,2620,2784,2539,2581,128398,82160.0,5200000.0
2015-07-07,2654,2662,2392,2475,91556,78780.0,5200000.0
2015-07-08,2448,2506,2212,2271,120607,72280.0,5200000.0
2015-07-09,2286,2310,1975,2205,164717,70200.0,5200000.0
2015-07-10,2204,2237,2090,2091,70561,66560.0,5200000.0
2015-07-13,2107,2131,2050,2083,51311,66300.0,5200000.0
2015-07-14,2114,2204,2073,2107,76416,67080.0,5200000.0
2015-07-15,2123,2123,2025,2026,61954,64480.0,5200000.0
2015-07-16,2008,2123,1959,2107,80843,67080.0,5200000.0
2015-07-17,2082,2130,2032,2091,72585,66592.0,5202500.0
2015-07-20,2219,2334,2155,2238,192451,71274.0,5202500.0
2015-07-21,2221,2270,2156,2254,62878,71794.0,5202500.0
2015-07-22,2253,2269,2204,2238,56263,71274.0,5202500.0
2015-07-23,2205,2246,2172,2181,32261,69453.0,5202500.0
2015-07-24,2180,2221,2138,2140,35581,68153.0,5202500.0
2015-07-27,2163,2172,1927,1928,127284,61390.0,5202500.0
2015-07-28,1869,1902,1731,1797,146220,57228.0,5202500.0
2015-07-29,1853,1902,1796,1797,65145,57228.0,5202500.0
2015-07-30,1804,1836,1755,1797,43093,57228.0,5202500.0
2015-07-31,1803,1853,1796,1846,24504,58867.0,5209500.0
2015-08-03,1845,1862,1788,1789,32264,57044.0,5209500.0
2015-08-04,1797,1935,1780,1887,70327,60170.0,5209500.0
2015-08-05,1886,1911,1845,1854,33965,59128.0,5209500.0
2015-08-06,1869,1902,1837,1854,30790,59128.0,5209500.0
2015-08-07,1836,1853,1812,1830,33204,58346.0,5209500.0
2015-08-10,1829,1829,1771,1805,32586,57565.0,5209500.0
2015-08-11,1803,1836,1755,1773,51821,56523.0,5209500.0
2015-08-12,1747,1771,1618,1699,85135,54179.0,5209500.0
2015-08-13,1665,1722,1657,1715,40345,54700.0,5209500.0
2015-08-17,1714,1731,1665,1683,31051,53658.0,5209500.0
2015-08-18,1681,1698,1616,1634,29786,52095.0,5209500.0
2015-08-19,1621,1621,1495,1503,47907,47927.0,5209500.0
2015-08-20,1486,1518,1437,1470,32062,46886.0,5209500.0
2015-08-21,1387,1420,1259,1348,61970,42978.0,5209500.0
2015-08-24,1274,1360,1213,1227,64414,39123.0,5209500.0
2015-08-25,1234,1335,1232,1295,59329,41311.0,5209500.0
2015-08-26,1317,1371,1294,1356,71583,43239.0,5209500.0
2015-08-27,1355,1555,1355,1470,92876,46886.0,5209500.0
2015-08-28,1470,1535,1446,1480,82435,47198.0,5209500.0
2015-08-31,1478,1494,1418,1431,61895,45635.0,5209500.0
2015-09-01,1429,1854,1429,1854,917547,59128.0,5209500.0
2015-09-02,1803,1951,1714,1781,890420,56784.0,5209500.0
2015-09-03,1788,1854,1723,1821,526882,58086.0,5209500.0
2015-09-04,1788,1821,1552,1554,459289,49542.0,5209500.0
2015-09-07,1551,1584,1437,1470,308590,46886.0,5209500.0
2015-09-08,1471,1486,1404,1405,131446,44802.0,5209500.0
2015-09-09,1433,1525,1433,1485,242665,47354.0,5209500.0
2015-09-10,1470,1536,1461,1503,163890,47927.0,5209500.0
2015-09-11,1485,1526,1482,1487,97855,47406.0,5209500.0
2015-09-14,1513,1628,1502,1578,235599,50324.0,5209500.0
2015-09-15,1600,1723,1598,1666,375821,53137.0,5209500.0
2015-09-16,1657,1665,1613,1642,146311,52355.0,5209500.0
2015-09-17,1665,1738,1625,1630,190260,51991.0,5209500.0
2015-09-18,1648,1689,1554,1565,291837,49907.0,5209500.0
2015-09-21,1574,1576,1546,1563,80698,49855.0,5209500.0
2015-09-22,1571,1592,1517,1534,126156,48917.0,5209500.0
2015-09-23,1533,1559,1463,1470,123033,46886.0,5209500.0
2015-09-24,1484,1517,1465,1493,62032,47615.0,5209500.0
2015-09-25,1497,1505,1470,1482,27725,47250.0,5209500.0
2015-09-30,1478,1481,1450,1465,27374,46729.0,5209500.0
2015-10-01,1464,1492,1464,1469,33737,46833.0,5209500.0
2015-10-02,1471,1498,1469,1473,22669,46990.0,5209500.0
2015-10-05,1479,1532,1479,1508,40952,48084.0,5209500.0
2015-10-06,1525,1525,1469,1501,62253,47875.0,5209500.0
2015-10-07,1494,1549,1466,1518,52595,48396.0,5209500.0
2015-10-08,1521,1633,1502,1567,96585,49959.0,5209500.0
2015-10-12,1576,1576,1527,1547,33487,49334.0,5209500.0
2015-10-13,1543,1567,1521,1529,73267,48761.0,5209500.0
2015-10-14,1550,1550,1515,1529,17368,48761.0,5209500.0
2015-10-15,1527,1545,1517,1545,23402,49282.0,5209500.0
2015-10-16,1565,1565,1520,1557,27366,49647.0,5209500.0
2015-10-19,1564,1564,1502,1514,45022,48292.0,5209500.0
2015-10-20,1513,1520,1487,1514,12300,48292.0,5209500.0
2015-10-21,1515,1518,1485,1505,29203,47979.0,5209500.0
2015-10-22,1503,1503,1462,1482,21399,47250.0,5209500.0
2015-10-23,1480,1485,1452,1477,40395,47094.0,5209500.0
2015-10-26,1473,1484,1455,1459,28412,46521.0,5209500.0
2015-10-27,1461,1543,1461,1487,48233,47406.0,5209500.0
2015-10-28,1498,1515,1480,1482,22529,47250.0,5209500.0
2015-10-29,1488,1494,1470,1483,20096,47302.0,5209500.0
2015-10-30,1486,1494,1463,1475,18684,47042.0,5209500.0
2015-11-02,1460,1494,1452,1465,27604,46729.0,5209500.0
2015-11-03,1453,1516,1453,1503,37099,47927.0,5209500.0
2015-11-04,1511,1511,1479,1490,13108,47511.0,5209500.0
2015-11-05,1487,1498,1473,1496,18954,47719.0,5209500.0
2015-11-06,1489,1512,1472,1500,49152,47823.0,5209500.0
2015-11-09,1518,1535,1489,1501,35811,47875.0,5209500.0
2015-11-10,1498,1545,1478,1547,59970,49334.0,5209500.0
2015-11-11,1553,1690,1553,1572,317533,50115.0,5209500.0
2015-11-12,1571,1586,1527,1529,61327,48761.0,5209500.0
2015-11-13,1513,1577,1502,1544,61168,49230.0,5209500.0
2015-11-16,1522,1558,1517,1537,28694,49021.0,5209500.0
2015-11-17,1530,1600,1530,1576,55774,50272.0,5209500.0
2015-11-18,1591,1591,1554,1565,39291,49907.0,5209500.0
2015-11-19,1567,1596,1545,1555,22873,49594.0,5209500.0
2015-11-20,1555,1572,1536,1550,17378,49438.0,5209500.0
2015-11-23,1552,1552,1520,1532,29492,48865.0,5209500.0
2015-11-24,1531,1577,1531,1572,33006,50115.0,5209500.0
2015-11-25,1595,1597,1550,1560,59754,49751.0,5209500.0
2015-11-26,1575,1885,1575,1658,488346,52876.0,5209500.0
2015-11-27,1714,1714,1600,1634,192305,52095.0,5209500.0
2015-11-30,1681,1722,1628,1650,212205,52616.0,5209500.0
2015-12-01,1674,1747,1657,1740,251882,55481.0,5209500.0
2015-12-02,1722,1739,1632,1658,139744,52876.0,5209500.0
2015-12-03,1623,1665,1610,1626,84066,51835.0,5209500.0
2015-12-04,1600,1681,1600,1626,114756,51835.0,5209500.0
2015-12-07,1625,1656,1608,1626,67164,51835.0,5209500.0
2015-12-08,1657,1657,1601,1658,92599,52876.0,5209500.0
2015-12-09,1665,1770,1648,1691,184796,53918.0,5209500.0
2015-12-10,1665,1698,1606,1642,93551,52355.0,5209500.0
2015-12-11,1613,1648,1502,1585,99502,50532.0,5209500.0
2015-12-14,1546,1546,1453,1470,81639,46886.0,5209500.0
2015-12-15,1432,1486,1423,1438,51557,45844.0,5209500.0
2015-12-16,1502,1539,1483,1490,47364,47511.0,5209500.0
2015-12-17,1489,1532,1481,1498,35724,47771.0,5209500.0
2015-12-18,1511,1511,1453,1470,38032,46886.0,5209500.0
2015-12-21,1455,1479,1455,1470,43682,46886.0,5209500.0
2015-12-22,1470,1477,1433,1451,42240,46260.0,5209500.0
2015-12-23,1450,1478,1450,1470,41682,46886.0,5209500.0
2015-12-24,1471,1478,1452,1464,34169,46677.0,5209500.0
2015-12-28,1478,1478,1452,1459,31383,46521.0,5209500.0
2015-12-29,1436,1457,1436,1452,18470,46312.0,5209500.0
2015-12-30,1455,1456,1438,1454,16365,46365.0,5209500.0
2016-01-04,1453,1470,1416,1428,36711,45531.0,5209500.0
2016-01-05,1385,1427,1385,1400,40292,44645.0,5209500.0
2016-01-06,1394,1437,1394,1420,34581,45271.0,5209500.0
2016-01-07,1454,1600,1428,1495,213981,47667.0,5209500.0
2016-01-08,1452,1488,1433,1462,52056,46625.0,5209500.0
2016-01-11,1441,1470,1430,1433,24668,45687.0,5209500.0
2016-01-12,1439,1461,1427,1446,33861,46104.0,5209500.0
2016-01-13,1420,1444,1391,1413,65856,45062.0,5209500.0
2016-01-14,1387,1404,1358,1366,33783,43551.0,5209500.0
2016-01-15,1373,1427,1373,1380,36597,44020.0,5209500.0
2016-01-18,1389,1389,1342,1346,38129,42926.0,5209500.0
2016-01-19,1335,1370,1322,1366,23988,43551.0,5209500.0
2016-01-20,1365,1365,1271,1294,52066,41259.0,5209500.0
2016-01-21,1255,1291,1255,1271,52712,40530.0,5209500.0
2016-01-22,1276,1311,1251,1294,27840,41259.0,5209500.0
2016-01-25,1293,1315,1275,1307,16439,41676.0,5209500.0
2016-01-26,1289,1315,1274,1279,29460,40790.0,5209500.0
2016-01-27,1278,1299,1256,1284,15189,40947.0,5209500.0
2016-01-28,1283,1331,1274,1302,11630,41520.0,5209500.0
2016-01-29,1312,1312,1291,1313,9283,41884.0,5209500.0
2016-02-01,1322,1339,1289,1312,12419,41832.0,5209500.0
2016-02-02,1320,1338,1288,1307,34831,41676.0,5209500.0
2016-02-03,1319,1319,1279,1292,8827,41207.0,5209500.0
2016-02-04,1274,1322,1265,1312,36504,41832.0,5209500.0
2016-02-05,1310,1314,1301,1313,23314,41884.0,5209500.0
2016-02-11,1289,1312,1241,1241,32901,39592.0,5209500.0
2016-02-12,1210,1265,1160,1194,79350,38081.0,5209500.0
2016-02-15,1194,1254,1191,1212,35319,38654.0,5209500.0
2016-02-16,1197,1256,1197,1258,32626,40113.0,5209500.0
2016-02-17,1254,1297,1232,1253,55977,39957.0,5209500.0
2016-02-18,1265,1285,1241,1269,42554,40478.0,5209500.0
2016-02-19,1270,1282,1254,1258,18501,40113.0,5209500.0
2016-02-22,1259,1293,1247,1274,12669,40634.0,5209500.0
2016-02-23,1274,1287,1260,1269,14734,40478.0,5209500.0
2016-02-24,1296,1296,1260,1286,13436,40999.0,5209500.0
2016-02-25,1284,1347,1284,1336,50282,42614.0,5209500.0
2016-02-26,1335,1355,1325,1343,31107,42822.0,5209500.0
2016-02-29,1339,1354,1289,1356,52169,43239.0,5209500.0
2016-03-02,1366,1367,1347,1369,48363,43656.0,5209500.0
2016-03-03,1359,1394,1354,1389,51355,44281.0,5209500.0
2016-03-04,1391,1394,1351,1392,55402,44385.0,5209500.0
2016-03-07,1414,1414,1371,1377,22247,43916.0,5209500.0
2016-03-08,1384,1436,1379,1421,67394,45323.0,5209500.0
2016-03-09,1420,1441,1394,1441,44337,45948.0,5209500.0
2016-03-10,1440,1445,1413,1434,38755,45739.0,5209500.0
2016-03-11,1433,1435,1333,1434,31743,45739.0,5209500.0
2016-03-14,1440,1451,1392,1426,18223,45479.0,5209500.0
2016-03-15,1425,1448,1411,1428,19504,45531.0,5209500.0
2016-03-16,1426,1441,1408,1420,24929,45271.0,5209500.0
2016-03-17,1418,1424,1395,1425,45659,45427.0,5209500.0
2016-03-18,1426,1426,1407,1425,25734,45427.0,5209500.0
2016-03-21,1427,1438,1410,1426,17016,45479.0,5209500.0
2016-03-22,1414,1429,1403,1425,22264,45427.0,5209500.0
2016-03-23,1432,1432,1387,1398,42777,44593.0,5209500.0
2016-03-24,1396,1396,1329,1357,60826,43291.0,5209500.0
2016-03-25,1357,1365,1322,1361,35949,43395.0,5209500.0
2016-03-28,1344,1387,1344,1384,27760,44124.0,5209500.0
