윈팩(097800),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2013-03-07,3064,3521,2950,3284,10252967,61628.0,14200000.0
2013-03-08,3283,3313,3049,3068,1719570,57581.0,14200000.0
2013-03-11,3151,3241,3056,3223,1595630,60492.0,14200000.0
2013-03-12,3211,3310,3177,3223,1288087,60492.0,14200000.0
2013-03-13,3185,3253,3120,3151,682691,59143.0,14200000.0
2013-03-14,3188,3264,3147,3242,747923,60847.0,14200000.0
2013-03-15,3245,3676,3245,3352,3322351,62906.0,14200000.0
2013-03-18,3385,3468,3230,3253,1147935,61060.0,14200000.0
2013-03-19,3291,3310,3226,3310,593263,62125.0,14200000.0
2013-03-20,3310,3336,2875,2970,1366393,55735.0,14200000.0
2013-03-21,3026,3056,2954,2954,457901,55451.0,14200000.0
2013-03-22,2962,3162,2962,3038,622049,57013.0,14200000.0
2013-03-25,3033,3083,2962,3000,395461,56303.0,14200000.0
2013-03-26,2999,3007,2852,2913,520135,54670.0,14200000.0
2013-03-27,2920,2950,2856,2867,255170,53818.0,14200000.0
2013-03-28,2856,2871,2761,2799,422381,52540.0,14200000.0
2013-03-29,2799,2950,2795,2890,336260,54244.0,14200000.0
2013-04-01,2890,2943,2806,2867,196479,53818.0,14200000.0
2013-04-02,2829,2901,2818,2837,136699,53250.0,14200000.0
2013-04-03,2875,2988,2863,2958,294085,55522.0,14200000.0
2013-04-04,2965,2965,2818,2909,200603,54599.0,14200000.0
2013-04-05,2939,2939,2799,2849,129404,53463.0,14200000.0
2013-04-08,2803,2886,2780,2799,135114,52540.0,14200000.0
2013-04-09,2765,2814,2716,2762,165023,51830.0,14200000.0
2013-04-10,2761,2799,2731,2769,92396,51972.0,14200000.0
2013-04-11,2806,2848,2776,2814,74264,52824.0,14200000.0
2013-04-12,2806,2844,2769,2769,133960,51972.0,14200000.0
2013-04-15,2795,2810,2716,2765,135450,51901.0,14200000.0
2013-04-16,2723,2746,2697,2709,97112,50836.0,14200000.0
2013-04-17,2731,2806,2708,2762,117943,51830.0,14200000.0
2013-04-18,2765,2859,2712,2799,219768,52540.0,14200000.0
2013-04-19,2825,2825,2723,2788,81682,52327.0,14200000.0
