중앙오션(054180),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2001-10-16,1258231,1258231,1258231,1258131,360615,80960.0,4400000.0
2001-10-17,1107826,1107826,1107826,1107724,23331,71280.0,4400000.0
2001-10-18,977883,1046250,977883,977803,1679782,62920.0,4400000.0
2001-10-19,1025675,1094063,998328,1042711,1647787,67100.0,4400000.0
2001-10-22,1025688,1036021,970993,977803,731248,62920.0,4400000.0
2001-10-23,1012076,1025750,902689,947073,733000,60940.0,4400000.0
2001-10-24,933515,1025805,916396,971009,1395214,62480.0,4400000.0
2001-10-25,947038,1018872,947038,1015431,793547,65340.0,4400000.0
2001-10-26,1025758,1066800,998412,1029123,1278887,66220.0,4400000.0
2001-10-29,1046185,1131565,1046185,1066647,1641508,68640.0,4400000.0
2001-10-30,1046195,1056424,964133,998289,728273,64240.0,4400000.0
2001-10-31,1015318,1049554,977742,1025569,547654,66000.0,4400000.0
2001-11-01,1046148,1114515,1035919,1052954,1024846,67760.0,4400000.0
2001-11-02,1070095,1097463,1001729,1011982,575374,65120.0,4400000.0
2001-11-05,1025660,1046119,998314,1018775,272575,65560.0,4400000.0
2001-11-06,1035835,1046065,988030,994840,319489,64020.0,4400000.0
2001-11-07,998458,1005243,971112,971009,279946,62480.0,4400000.0
2001-11-08,977900,1005248,967567,974354,358067,62700.0,4400000.0
2001-11-09,974500,981286,933376,947073,238898,60940.0,4400000.0
2001-11-12,960712,1025760,953927,1015431,514603,65340.0,4400000.0
2001-11-13,991571,1087286,991571,1049609,858278,67540.0,4400000.0
2001-11-14,1070140,1114625,1032565,1042711,851548,67100.0,4400000.0
2001-11-15,1025712,1070177,964109,981148,478708,63140.0,4400000.0
2001-11-16,991555,1005229,957321,977803,373534,62920.0,4400000.0
2001-11-19,984630,1025652,981187,1025569,440303,66000.0,4400000.0
2001-11-20,1039386,1039386,977783,981148,419741,63140.0,4400000.0
2001-11-21,981180,1005083,964061,1005083,183940,64680.0,4400000.0
2001-11-22,994854,1032430,991408,1005083,282109,64680.0,4400000.0
2001-11-23,1012021,1056485,1012021,1056403,489354,67980.0,4400000.0
2001-11-26,1070155,1083827,1025691,1052954,561041,67760.0,4400000.0
2001-11-27,1087196,1152244,1053065,1073545,760149,69080.0,4400000.0
2001-11-28,1063314,1080328,984592,998289,314526,64240.0,4400000.0
2001-11-29,1022363,1073612,1015475,1049609,691147,67540.0,4400000.0
2001-11-30,1053008,1094028,1022320,1094031,568531,70400.0,4400000.0
2001-12-03,1128246,1189724,1076995,1080339,1576193,69520.0,4400000.0
2001-12-04,1090591,1121381,1070133,1114518,726190,71720.0,4400000.0
2001-12-05,1128260,1135046,1059894,1090582,561578,70180.0,4400000.0
2001-12-06,1090641,1100869,1039287,1059853,470004,68200.0,4400000.0
2001-12-07,1059915,1090604,1025680,1032468,396722,66440.0,4400000.0
2001-12-10,1035973,1049647,984619,1001738,370285,64460.0,4400000.0
2001-12-11,1001745,1025648,991517,1022225,290261,65780.0,4400000.0
2001-12-12,1001745,1029092,1001745,1022225,264242,65780.0,4400000.0
2001-12-13,1018782,1056358,1018782,1039262,394446,66880.0,4400000.0
2001-12-14,1025606,1029051,991370,994840,255584,64020.0,4400000.0
2001-12-17,998312,1008645,936833,940175,214258,60500.0,4400000.0
2001-12-18,950371,957157,847769,858021,381540,55220.0,4400000.0
2001-12-19,868429,878658,762486,779525,433713,50160.0,4400000.0
2001-12-20,772758,806993,772758,793217,255721,51040.0,4400000.0
2001-12-21,762405,779418,714496,721306,227174,46420.0,4400000.0
2001-12-24,738465,748799,673522,676884,313974,43560.0,4400000.0
2001-12-26,664016,694077,643453,656398,326307,42240.0,4400000.0
2001-12-27,674226,735078,667338,734998,401970,47300.0,4400000.0
2001-12-28,738559,769350,731773,745346,359169,47960.0,4400000.0
2002-01-02,759043,796617,748709,779525,306230,50160.0,4400000.0
2002-01-03,765926,803502,759038,759038,338406,48840.0,4400000.0
2002-01-04,772729,786403,755611,772731,259011,49720.0,4400000.0
2002-01-07,776131,783019,728305,741897,271606,47740.0,4400000.0
2002-01-08,731703,735043,687239,707718,314324,45540.0,4400000.0
2002-01-09,711215,748791,707770,748691,296012,48180.0,4400000.0
2002-01-10,752219,779566,738545,752140,339933,48400.0,4400000.0
2002-01-11,752309,779656,704379,724860,264144,46640.0,4400000.0
2002-01-14,724822,724822,697475,700820,122200,45100.0,4400000.0
2002-01-15,683122,690635,672891,675525,129232,43472.0,4400000.0
2002-01-16,670194,690756,670194,672181,108661,43252.0,4400000.0
2002-01-17,663279,668705,650335,651590,109856,41932.0,4400000.0
2002-01-18,656606,674976,653161,657861,97872,42328.0,4400000.0
2002-01-21,653041,670158,644899,659847,78285,42460.0,4400000.0
2002-01-22,663274,738529,663274,738448,376730,47520.0,4400000.0
2002-01-23,738559,793253,728330,745346,763374,47960.0,4400000.0
2002-01-24,755654,758995,707745,728204,321889,46860.0,4400000.0
2002-01-25,735044,813661,735044,786319,906583,50600.0,4400000.0
2002-01-28,820552,878712,810323,878612,782376,56540.0,4400000.0
2002-01-29,888880,905997,820511,834190,549670,53680.0,4400000.0
2002-01-30,813637,823865,772617,782869,294900,50380.0,4400000.0
2002-01-31,820605,868514,806931,823947,526638,53020.0,4400000.0
2002-02-01,813661,847897,772620,786319,310680,50600.0,4400000.0
2002-02-04,765902,786464,731750,741897,204687,47740.0,4400000.0
2002-02-05,718080,738539,707747,731654,141421,47080.0,4400000.0
2002-02-06,738398,772634,717941,721306,216608,46420.0,4400000.0
2002-02-07,724886,735115,659963,670090,207115,43120.0,4400000.0
2002-02-08,670635,711029,670635,704164,135057,45320.0,4400000.0
2002-02-14,721419,738537,711190,728204,158160,46860.0,4400000.0
2002-02-15,714585,724815,704356,707718,150903,45540.0,4400000.0
2002-02-18,707745,728307,683821,728204,160099,46860.0,4400000.0
2002-02-19,735054,800082,728269,776075,508030,49940.0,4400000.0
2002-02-20,762486,793174,755598,779525,211460,50160.0,4400000.0
2002-02-21,813700,834158,786353,827291,497479,53240.0,4400000.0
2002-02-22,799966,810321,769280,786319,206249,50600.0,4400000.0
2002-02-25,813629,861433,799955,837534,503007,53900.0,4400000.0
2002-02-26,847924,847924,800119,803460,296004,51700.0,4400000.0
2002-02-27,813797,834360,796679,806909,207829,51920.0,4400000.0
2002-02-28,789766,796655,765864,789768,258791,50820.0,4400000.0
2002-03-04,813793,882161,810349,882061,670200,56760.0,4400000.0
2002-03-05,919757,977896,875292,895753,1218261,57640.0,4400000.0
2002-03-06,902558,912787,858094,912790,314531,58740.0,4400000.0
