알톤스포츠(123750),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-07-02,4886,5001,4611,4612,6117769,20321.0,20220000.0
2010-07-05,4634,4634,4588,4634,619865,20422.0,20220000.0
2010-07-06,4634,4634,4588,4634,883377,20422.0,20220000.0
2010-07-07,4611,4634,4588,4612,246844,20321.0,20220000.0
2010-07-08,4611,4634,4588,4612,300908,20321.0,20220000.0
2010-07-09,4611,4611,4588,4612,276370,20321.0,20220000.0
2010-07-12,4588,4611,4588,4589,241636,20220.0,20220000.0
2010-07-13,4611,4634,4588,4612,301031,20321.0,20220000.0
2010-07-14,4611,4634,4611,4634,318304,20422.0,20220000.0
2010-07-15,4611,4634,4588,4634,142986,20422.0,20220000.0
2010-07-16,4611,4657,4588,4634,225399,20422.0,20220000.0
2010-07-19,4611,4657,4611,4634,337389,20422.0,20220000.0
2010-07-20,4634,4657,4634,4634,115818,20422.0,20220000.0
2010-07-21,4657,4657,4634,4634,55245,20422.0,20220000.0
2010-07-22,4634,4657,4634,4634,139426,20422.0,20220000.0
2010-07-23,4634,4657,4634,4634,244349,20422.0,20220000.0
2010-07-26,4634,4657,4634,4634,33335,20422.0,20220000.0
2010-07-27,4657,4657,4634,4634,123358,20422.0,20220000.0
2010-07-28,4634,4748,4634,4727,321356,20827.0,20220000.0
2010-07-29,4680,4748,4634,4727,259125,20827.0,20220000.0
2010-07-30,4702,4748,4702,4727,63963,20827.0,20220000.0
2010-08-02,4725,4725,4702,4727,35090,20827.0,20220000.0
2010-08-03,4702,4748,4702,4750,70870,20928.0,20220000.0
2010-08-04,4725,4725,4702,4703,19942,20726.0,20220000.0
2010-08-05,4725,4725,4680,4680,80210,20624.0,20220000.0
2010-08-06,4680,4725,4680,4727,13550,20827.0,20220000.0
2010-08-09,4702,4771,4702,4750,104303,20928.0,20220000.0
2010-08-10,4748,4817,4748,4772,314476,21029.0,20220000.0
2010-08-11,4771,4794,4725,4795,178738,21130.0,20220000.0
2010-08-12,4771,4794,4725,4772,58950,21029.0,20220000.0
2010-08-13,4794,4817,4771,4818,264279,21231.0,20220000.0
2010-08-16,4817,4817,4794,4795,182430,21130.0,20220000.0
2010-08-17,4771,4840,4771,4795,136539,21130.0,20220000.0
2010-08-18,4817,4840,4794,4795,51559,21130.0,20220000.0
2010-08-19,4771,4817,4771,4795,36884,21130.0,20220000.0
2010-08-20,4794,4794,4748,4772,55267,21029.0,20220000.0
2010-08-23,4771,4794,4748,4750,60108,20928.0,20220000.0
2010-08-24,4748,4794,4702,4772,76954,21029.0,20220000.0
2010-08-25,4725,4817,4725,4750,155520,20928.0,20220000.0
2010-08-26,5001,5460,4794,4887,4414120,21534.0,20220000.0
2010-08-27,4840,4909,4817,4864,369958,21433.0,20220000.0
2010-08-30,4886,4932,4840,4933,336609,21736.0,20220000.0
2010-08-31,4932,5001,4886,4887,194242,21534.0,20220000.0
2010-09-01,4978,4978,4863,4933,102258,21736.0,20220000.0
2010-09-02,4978,4978,4886,4933,55142,21736.0,20220000.0
2010-09-03,4909,5001,4886,4933,45379,21736.0,20220000.0
2010-09-06,4886,4978,4863,4887,107257,21534.0,20220000.0
