삼강엠앤티(100090),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-08-01,3707,4260,3661,3707,3818457,51840.0,6400000.0
2008-08-04,3785,3958,3359,3666,625673,51264.0,6400000.0
2008-08-05,3734,3849,3528,3630,171675,50752.0,6400000.0
2008-08-06,3688,3812,3538,3813,239853,53312.0,6400000.0
2008-08-07,3821,3945,3757,3758,117293,52544.0,6400000.0
2008-08-08,3730,3789,3656,3776,73537,52800.0,6400000.0
2008-08-11,3775,3844,3624,3776,103011,52800.0,6400000.0
2008-08-12,3757,3757,3570,3662,70116,51200.0,6400000.0
2008-08-13,3602,3702,3588,3662,81900,51200.0,6400000.0
2008-08-14,3702,4151,3684,4120,222864,57600.0,6400000.0
2008-08-18,4119,4503,4036,4463,336978,62400.0,6400000.0
2008-08-19,4484,4484,4219,4367,78625,61056.0,6400000.0
2008-08-20,4301,4713,4256,4312,178851,60288.0,6400000.0
2008-08-21,4347,4393,4027,4028,90215,56320.0,6400000.0
2008-08-22,3958,4000,3666,3799,75928,53120.0,6400000.0
2008-08-25,3821,3990,3821,3858,39463,53952.0,6400000.0
2008-08-26,3798,3853,3688,3707,51087,51840.0,6400000.0
2008-08-27,3716,3771,3478,3570,65129,49920.0,6400000.0
2008-08-28,3583,3844,3583,3694,48330,51648.0,6400000.0
2008-08-29,3798,3798,3656,3730,20039,52160.0,6400000.0
2008-09-01,3656,3707,3437,3707,37902,51840.0,6400000.0
2008-09-02,3570,3679,3432,3657,67822,51136.0,6400000.0
2008-09-03,3570,3707,3487,3639,25934,50880.0,6400000.0
2008-09-04,3661,3798,3606,3698,42755,51712.0,6400000.0
2008-09-05,3606,3606,3501,3524,27850,49280.0,6400000.0
2008-09-08,3487,3647,3487,3593,46571,50240.0,6400000.0
2008-09-09,3679,3679,3428,3456,70085,48320.0,6400000.0
2008-09-10,3391,3501,3236,3341,37364,46720.0,6400000.0
2008-09-11,3341,3428,3258,3341,34618,46720.0,6400000.0
2008-09-12,3382,3835,3304,3698,122577,51712.0,6400000.0
2008-09-16,3295,3611,3295,3524,17702,49280.0,6400000.0
2008-09-17,3661,3725,3446,3726,12994,52096.0,6400000.0
2008-09-18,3528,3725,3528,3726,12507,52096.0,6400000.0
2008-09-19,3789,3936,3785,3936,45599,55040.0,6400000.0
2008-09-22,3981,4068,3391,3941,18942,55104.0,6400000.0
2008-09-23,4045,4096,3890,4092,26679,57216.0,6400000.0
2008-09-24,4004,4086,3968,3968,10586,55488.0,6400000.0
2008-09-25,3981,4100,3853,4028,36685,56320.0,6400000.0
2008-09-26,4119,4119,3753,4028,66462,56320.0,6400000.0
2008-09-29,4027,4027,3876,3982,8813,55680.0,6400000.0
2008-09-30,3753,3936,3707,3936,26959,55040.0,6400000.0
2008-10-01,3890,3981,3812,3822,18010,53440.0,6400000.0
2008-10-02,3821,3931,3753,3931,12800,54976.0,6400000.0
2008-10-06,3885,3885,3519,3771,14018,52736.0,6400000.0
2008-10-07,3221,3798,3207,3799,35118,53120.0,6400000.0
2008-10-08,3890,3890,3506,3684,22067,51520.0,6400000.0
2008-10-09,3775,3775,3570,3570,11717,49920.0,6400000.0
2008-10-10,3606,3661,3387,3662,23351,51200.0,6400000.0
2008-10-13,3753,3753,3547,3707,8741,51840.0,6400000.0
2008-10-14,3771,3954,3693,3808,31601,53248.0,6400000.0
2008-10-15,3711,3830,3707,3822,25113,53440.0,6400000.0
2008-10-16,3707,3794,3592,3776,85137,52800.0,6400000.0
2008-10-17,3885,3885,3707,3799,36508,53120.0,6400000.0
2008-10-20,3734,3844,3661,3831,20945,53568.0,6400000.0
2008-10-21,3890,3890,3780,3799,4216,53120.0,6400000.0
2008-10-22,3839,4205,3579,3845,40747,53760.0,6400000.0
2008-10-23,3835,3835,3551,3753,33570,52480.0,6400000.0
2008-10-24,3839,3839,3478,3616,43482,50560.0,6400000.0
2008-10-27,3794,3794,3432,3524,9673,49280.0,6400000.0
2008-10-28,3661,3661,3345,3456,35646,48320.0,6400000.0
2008-10-29,3515,3670,3254,3254,41588,45504.0,6400000.0
2008-10-30,3478,3638,3300,3616,45112,50560.0,6400000.0
2008-10-31,3707,3821,3615,3799,35466,53120.0,6400000.0
2008-11-03,3798,3936,3798,3899,33449,54528.0,6400000.0
2008-11-04,3894,3894,3798,3845,10529,53760.0,6400000.0
2008-11-05,3931,4187,3803,3817,194420,53376.0,6400000.0
2008-11-06,3890,3890,3478,3479,65045,48640.0,6400000.0
2008-11-07,3478,3661,3295,3662,40889,51200.0,6400000.0
2008-11-10,3707,3730,3597,3657,11335,51136.0,6400000.0
2008-11-11,3565,3743,3547,3707,14623,51840.0,6400000.0
2008-11-12,3766,3766,3583,3662,7239,51200.0,6400000.0
2008-11-13,3478,3647,3396,3552,22206,49664.0,6400000.0
2008-11-14,3579,3652,3437,3593,17134,50240.0,6400000.0
2008-11-17,3597,3597,3487,3565,8231,49856.0,6400000.0
2008-11-18,3579,3579,3373,3373,15206,47168.0,6400000.0
2008-11-19,3281,3469,3207,3341,13054,46720.0,6400000.0
2008-11-20,3323,3323,2896,3044,13645,42560.0,6400000.0
2008-11-21,3212,3212,2983,3190,25472,44608.0,6400000.0
2008-11-24,3432,3666,3336,3515,220099,49152.0,6400000.0
2008-11-25,3615,3666,3231,3268,115372,45696.0,6400000.0
2008-11-26,3295,3460,3277,3369,40318,47104.0,6400000.0
2008-11-27,3570,3675,3391,3451,126316,48256.0,6400000.0
2008-11-28,3570,3775,3432,3497,150672,48896.0,6400000.0
2008-12-01,3565,3634,3464,3575,50165,49984.0,6400000.0
2008-12-02,3327,3542,3295,3451,52596,48256.0,6400000.0
2008-12-03,3570,3570,3409,3524,45872,49280.0,6400000.0
2008-12-04,3528,3579,3396,3524,43323,49280.0,6400000.0
2008-12-05,3492,3624,3492,3552,44567,49664.0,6400000.0
2008-12-08,3798,4027,3675,3822,159546,53440.0,6400000.0
2008-12-09,3926,3977,3675,3739,72082,52288.0,6400000.0
2008-12-10,3730,3926,3666,3918,102256,54784.0,6400000.0
2008-12-11,3890,4425,3826,4349,157952,60800.0,6400000.0
2008-12-12,4347,4645,4119,4285,214441,59904.0,6400000.0
2008-12-15,4393,4645,4311,4555,135956,63680.0,6400000.0
2008-12-16,4507,4553,4347,4367,81297,61056.0,6400000.0
2008-12-17,4393,4484,4086,4166,94347,58240.0,6400000.0
2008-12-18,4210,4416,4178,4234,66792,59200.0,6400000.0
2008-12-19,4233,4393,4027,4211,168815,58880.0,6400000.0
2008-12-22,4301,4425,4169,4253,87035,59456.0,6400000.0
2008-12-23,4173,4210,4068,4166,59623,58240.0,6400000.0
2008-12-24,4164,4484,4164,4417,133555,61760.0,6400000.0
2008-12-26,4434,4507,4279,4358,49338,60928.0,6400000.0
2008-12-29,4439,4439,4260,4358,34314,60928.0,6400000.0
2008-12-30,4347,4439,4292,4440,27863,62080.0,6400000.0
2009-01-02,4416,4457,4329,4431,26361,61952.0,6400000.0
2009-01-05,4462,4462,4306,4340,57139,60672.0,6400000.0
2009-01-06,4347,4347,4228,4335,99919,60608.0,6400000.0
2009-01-07,4334,4690,4324,4495,233933,62848.0,6400000.0
2009-01-08,4667,5149,4512,5012,563510,70080.0,6400000.0
2009-01-09,5309,5560,4690,4760,1068077,66560.0,6400000.0
2009-01-12,4782,5011,4530,4532,276233,63360.0,6400000.0
2009-01-13,4576,4851,4356,4760,344841,66560.0,6400000.0
2009-01-14,4713,4805,4599,4600,148554,64320.0,6400000.0
2009-01-15,4667,5286,4622,4623,1345829,64640.0,6400000.0
2009-01-16,4851,5103,4690,4898,408571,68480.0,6400000.0
2009-01-19,5011,5286,4966,5058,326696,70720.0,6400000.0
2009-01-20,4989,5263,4897,5264,257530,73600.0,6400000.0
2009-01-21,5034,6041,4897,6042,896921,84480.0,6400000.0
2009-01-22,6361,6476,5812,5974,684495,83520.0,6400000.0
2009-01-23,6041,6545,5835,6179,547886,86400.0,6400000.0
2009-01-28,6522,6545,6087,6088,308318,85120.0,6400000.0
2009-01-29,6224,6224,5721,5996,240323,83840.0,6400000.0
2009-01-30,5858,6155,5835,5996,140527,83840.0,6400000.0
2009-02-02,5949,6109,5858,5882,153560,82240.0,6400000.0
2009-02-03,5972,6292,5789,6271,267166,87680.0,6400000.0
2009-02-04,6292,6452,6155,6317,197525,88320.0,6400000.0
2009-02-05,6270,6361,5949,5951,126898,83200.0,6400000.0
