도이치모터스(067990),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2004-12-03,13176,14737,12440,14739,1959369,11558.0,4150000.0
2004-12-06,16497,16497,16497,16491,253521,12927.0,4150000.0
2004-12-07,18447,18447,18447,18441,242906,14463.0,4150000.0
2004-12-08,20112,20112,16253,16247,1344712,12740.0,4150000.0
2004-12-09,14923,15878,14317,14317,798281,11226.0,4150000.0
2004-12-10,14406,14543,12658,13394,599208,10500.0,4150000.0
2004-12-13,13180,14111,13026,13706,576536,10748.0,4150000.0
2004-12-14,13767,14188,12068,12070,518783,9462.0,4150000.0
2004-12-15,11671,12383,10960,12070,579109,9462.0,4150000.0
2004-12-16,12359,12707,11914,12070,408751,12393.0,5435713.0
2004-12-17,12176,12281,11488,11804,199002,12122.0,5435713.0
2004-12-20,11703,11921,11225,11275,218256,11578.0,5435713.0
2004-12-21,11175,11280,10196,10188,271627,10464.0,5435713.0
2004-12-22,10195,10429,9637,9978,188345,10246.0,5435713.0
2004-12-23,9925,10160,9690,9951,151895,10219.0,5435713.0
2004-12-24,10217,11147,9925,10032,416525,10301.0,5435713.0
2004-12-27,10090,10649,9880,10351,162077,10627.0,5435713.0
2004-12-28,10593,11386,10487,10983,366333,11279.0,5435713.0
2004-12-29,11171,11171,10427,10799,154323,11089.0,5435713.0
2004-12-30,10798,10951,10320,10426,121035,10708.0,5435713.0
2005-01-03,10476,10476,9789,10371,56805,10654.0,5435713.0
2005-01-04,10325,11627,10325,11621,252649,11931.0,5435713.0
2005-01-05,11648,12287,11437,11858,315874,12176.0,5435713.0
2005-01-06,11861,12152,11060,11166,260275,11469.0,5435713.0
2005-01-07,11511,12489,11252,12491,332565,12828.0,5435713.0
2005-01-10,13027,13957,12476,13237,816553,13589.0,5435713.0
2005-01-11,13398,13770,12338,13659,355354,14024.0,5435713.0
2005-01-12,13294,13772,12816,12810,156227,13154.0,5435713.0
2005-01-13,12757,14351,12757,14345,369904,14731.0,5435713.0
2005-01-14,14987,16071,14825,16063,668783,16497.0,5435713.0
