와이아이케이(232140),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2015-12-24,2099,2115,2083,2099,270199,21240.0,10620000.0
2015-12-28,2099,2099,2088,2089,45740,21134.0,10620000.0
2015-12-29,2099,2115,2083,2089,95879,21134.0,10620000.0
2015-12-30,2088,2099,2088,2099,80673,21240.0,10620000.0
2016-01-04,2099,2099,2083,2094,5125,21187.0,10620000.0
2016-01-05,2094,2094,2094,2094,21020,21187.0,10620000.0
2016-01-06,2088,2094,2088,2089,105267,21134.0,10620000.0
2016-01-07,2099,2099,2088,2099,60104,21240.0,10620000.0
2016-01-08,2099,2099,2094,2094,56776,21187.0,10620000.0
2016-01-11,2088,2094,2088,2094,280,21187.0,10620000.0
2016-01-12,2094,2099,2094,2099,18078,21240.0,10620000.0
2016-01-13,2094,2120,2094,2120,500,21452.0,10620000.0
2016-01-14,2083,2099,2083,2099,18610,21240.0,10620000.0
2016-01-15,2094,2094,2088,2089,10641,21134.0,10620000.0
2016-01-18,2088,2088,2088,2089,0,21134.0,10620000.0
2016-01-19,2078,2078,2078,2078,506,21028.0,10620000.0
2016-01-20,2078,2088,2062,2073,18050,20974.0,10620000.0
2016-01-21,2073,2073,2073,2073,10,20974.0,10620000.0
2016-01-22,2073,2073,2073,2073,0,20974.0,10620000.0
2016-01-25,2073,2099,2073,2094,11093,21187.0,10620000.0
2016-01-26,2099,2099,2099,2099,10005,21240.0,10620000.0
2016-01-27,2088,2088,2088,2089,493,21134.0,10620000.0
2016-01-28,2088,2088,2088,2089,80,21134.0,10620000.0
2016-01-29,2083,2083,2083,2084,20,21081.0,10620000.0
2016-02-01,2088,2099,2088,2089,8631,21134.0,10620000.0
2016-02-02,2094,2094,2083,2084,80,21081.0,10620000.0
2016-02-03,2078,2078,2078,2078,4000,21028.0,10620000.0
2016-02-04,2088,2088,2078,2078,522,21028.0,10620000.0
2016-02-05,2078,2078,2078,2078,101,21028.0,10620000.0
2016-02-11,2099,2099,2099,2099,1,21240.0,10620000.0
2016-02-12,2094,2094,2078,2094,7704,21187.0,10620000.0
2016-02-15,2067,2083,2067,2078,2321,21028.0,10620000.0
2016-02-16,2078,2078,2078,2078,5360,21028.0,10620000.0
2016-02-17,2094,2099,2094,2099,30000,21240.0,10620000.0
2016-02-18,2094,2094,2094,2094,3660,21187.0,10620000.0
2016-02-19,2078,2094,2073,2094,1411,21187.0,10620000.0
2016-02-22,2073,2099,2073,2099,7780,21240.0,10620000.0
2016-02-23,2094,2094,2094,2094,0,21187.0,10620000.0
2016-02-24,2078,2078,2078,2078,1027,21028.0,10620000.0
2016-02-25,2078,2099,2073,2073,3287,20974.0,10620000.0
2016-02-26,2078,2078,2073,2073,4720,20974.0,10620000.0
2016-02-29,2073,2073,2073,2073,21100,20974.0,10620000.0
2016-03-02,2078,2099,2078,2099,10000,21240.0,10620000.0
2016-03-03,2094,2094,2078,2084,1022,21081.0,10620000.0
2016-03-04,2088,2088,2078,2084,5561,21081.0,10620000.0
2016-03-07,2078,2078,2046,2057,36871,20815.0,10620000.0
2016-03-08,2057,2062,2041,2047,62249,20709.0,10620000.0
2016-03-09,2046,2062,2036,2047,78055,20709.0,10620000.0
2016-03-10,2046,2052,2041,2042,70423,20656.0,10620000.0
2016-03-11,2046,2052,2041,2047,46219,20709.0,10620000.0
2016-03-14,2041,2052,2036,2052,36014,20762.0,10620000.0
