KG이니시스(035600),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2002-11-22,5500,5500,5500,5500,10580,70048.0,63680000.0
2002-11-25,6150,6150,6150,6150,4187,78326.0,63680000.0
2002-11-26,6850,6850,6850,6850,6195,87242.0,63680000.0
2002-11-27,7650,7650,7400,7650,2138217,97430.0,63680000.0
2002-11-28,8150,8450,6750,6750,3856708,85968.0,63680000.0
2002-11-29,6600,7000,6000,6650,1613448,84694.0,63680000.0
2002-12-02,6800,6850,6450,6600,756388,84058.0,63680000.0
2002-12-03,6500,6700,6300,6350,808548,80874.0,63680000.0
2002-12-04,6200,6300,6050,6050,505762,77053.0,63680000.0
2002-12-05,6150,6650,6100,6450,1234191,82147.0,63680000.0
2002-12-06,6350,6550,6200,6250,473048,79600.0,63680000.0
2002-12-09,6250,6450,5950,6000,580352,76416.0,63680000.0
2002-12-10,5850,6250,5800,6100,516472,77690.0,63680000.0
2002-12-11,6350,6800,6250,6800,1390461,86605.0,63680000.0
2002-12-12,6900,7100,6550,6850,1267494,87242.0,63680000.0
2002-12-13,6800,7200,6750,6800,880113,86605.0,63680000.0
2002-12-16,6550,6750,6000,6250,779989,79600.0,63680000.0
2002-12-17,6100,6400,6100,6300,392888,80237.0,63680000.0
2002-12-18,6200,6300,6100,6150,367003,78326.0,63680000.0
2002-12-20,5850,6300,5850,6100,377859,77690.0,63680000.0
2002-12-23,6100,6150,5400,5400,518949,68774.0,63680000.0
2002-12-24,5400,5450,4850,4950,417361,63043.0,63680000.0
2002-12-26,4650,4800,4500,4550,376299,57949.0,63680000.0
2002-12-27,4200,4400,4100,4100,370100,52218.0,63680000.0
2002-12-30,3700,4200,3650,3800,327896,48397.0,63680000.0
2003-01-02,3850,4250,3850,4250,603893,54128.0,63680000.0
2003-01-03,4500,4750,4450,4750,539284,60496.0,63680000.0
2003-01-06,4850,5200,4750,5050,875287,64317.0,63680000.0
2003-01-07,5250,5250,4600,4750,488623,60496.0,63680000.0
2003-01-08,4700,5100,4700,5050,590880,64317.0,63680000.0
2003-01-09,4950,5050,4650,4950,458537,63043.0,63680000.0
2003-01-10,5100,5250,4700,4750,862958,60496.0,63680000.0
2003-01-13,4700,5100,4700,5000,479106,63680.0,63680000.0
2003-01-14,5100,5600,4950,5600,880848,71322.0,63680000.0
2003-01-15,5950,6200,5500,5650,1223414,71958.0,63680000.0
2003-01-16,5600,5600,5250,5300,510434,67501.0,63680000.0
2003-01-17,5250,5400,4750,4850,455792,61770.0,63680000.0
2003-01-20,4600,4800,4550,4700,343414,59859.0,63680000.0
2003-01-21,4700,4850,4650,4800,379590,61133.0,63680000.0
2003-01-22,4650,4800,4400,4500,287688,57312.0,63680000.0
2003-01-23,4550,4650,4450,4600,349253,58586.0,63680000.0
2003-01-24,4650,4650,4100,4150,558567,52854.0,63680000.0
2003-01-27,4200,4450,4050,4050,751653,51581.0,63680000.0
2003-01-28,4050,4150,3950,4050,265000,51581.0,63680000.0
2003-01-29,4100,4200,3850,4000,249951,50944.0,63680000.0
2003-01-30,4000,4150,4000,4000,325819,50944.0,63680000.0
2003-02-03,4000,4300,3900,4200,305119,53491.0,63680000.0
2003-02-04,4200,4300,4100,4150,331090,52854.0,63680000.0
2003-02-05,4100,4150,4000,4050,158714,51581.0,63680000.0
2003-02-06,4050,4150,3900,3950,175215,50307.0,63680000.0
2003-02-07,3900,3950,3800,3950,224374,50307.0,63680000.0
2003-02-10,3800,3950,3800,3850,125305,49034.0,63680000.0
2003-02-11,3950,4050,3650,3800,377522,48397.0,63680000.0
2003-02-12,3750,3850,3700,3800,163561,48397.0,63680000.0
