KJ프리텍(083470),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2008-09-18,2736,3146,2726,3147,1570779,19642.0,6100000.0
2008-09-19,3459,3615,3224,3616,3919633,22570.0,6100000.0
2008-09-22,3703,3928,3395,3396,4019115,21198.0,6100000.0
2008-09-23,3439,3566,2941,3044,1776778,19002.0,6100000.0
2008-09-24,3097,3498,3063,3499,1863294,21838.0,6100000.0
2008-09-25,3786,3987,3303,3455,6548183,21564.0,6100000.0
2008-09-26,3557,3703,3244,3244,2451521,20252.0,6100000.0
2008-09-29,3366,3703,3264,3474,4063137,21686.0,6100000.0
2008-09-30,3039,3351,3034,3220,1357642,20100.0,6100000.0
2008-10-01,3361,3381,2980,3000,860902,18727.0,6100000.0
2008-10-02,3024,3112,2638,2736,777354,17080.0,6100000.0
2008-10-06,2672,2731,2325,2326,730021,14518.0,6100000.0
2008-10-07,2247,2276,2013,2209,553709,13786.0,6100000.0
2008-10-08,2101,2154,1881,1881,387518,11742.0,6100000.0
2008-10-09,1671,1856,1607,1627,1484026,10156.0,6100000.0
2008-10-10,1495,1524,1387,1393,826188,8692.0,6100000.0
2008-10-13,1475,1597,1436,1598,258534,9974.0,6100000.0
2008-10-14,1837,1837,1837,1837,102535,11468.0,6100000.0
2008-10-15,2110,2110,1900,2111,2296936,13176.0,6100000.0
2008-10-16,2003,2262,1798,1798,3048715,11224.0,6100000.0
2008-10-17,1983,2066,1671,2067,2739188,12902.0,6100000.0
2008-10-20,1915,1993,1759,1759,1645693,10980.0,6100000.0
2008-10-21,1729,1871,1504,1739,708715,10858.0,6100000.0
2008-10-22,1837,1998,1724,1994,2090197,12444.0,6100000.0
2008-10-23,1866,1905,1695,1744,1212866,10888.0,6100000.0
2008-10-24,1788,1846,1495,1495,355581,9333.0,6100000.0
2008-10-27,1544,1612,1275,1275,188615,7960.0,6100000.0
2008-10-28,1172,1392,1084,1373,412220,8570.0,6100000.0
2008-10-29,1417,1514,1167,1168,625665,7290.0,6100000.0
2008-10-30,1280,1338,1226,1339,327999,8357.0,6100000.0
2008-10-31,1377,1539,1377,1539,453315,9608.0,6100000.0
2008-11-03,1563,1768,1563,1769,297119,11041.0,6100000.0
2008-11-04,1817,1954,1710,1769,364094,11041.0,6100000.0
2008-11-05,1846,1905,1563,1652,349051,10309.0,6100000.0
2008-11-06,1563,1568,1407,1417,196107,8845.0,6100000.0
2008-11-07,1319,1622,1289,1564,118147,9760.0,6100000.0
2008-11-10,1627,1788,1573,1749,206963,10919.0,6100000.0
2008-11-11,1700,2008,1627,1920,626302,11986.0,6100000.0
2008-11-12,1856,1920,1710,1788,444794,11163.0,6100000.0
2008-11-13,1671,1749,1583,1749,117397,10919.0,6100000.0
2008-11-14,1954,1954,1778,1798,209487,11224.0,6100000.0
2008-11-17,1749,1793,1656,1710,195879,10675.0,6100000.0
2008-11-18,1651,1719,1636,1637,49861,10218.0,6100000.0
2008-11-19,1641,1690,1504,1632,72548,10187.0,6100000.0
2008-11-20,1622,1622,1387,1388,61202,8662.0,6100000.0
2008-11-21,1197,1544,1197,1422,59978,8876.0,6100000.0
2008-11-24,1534,1534,1319,1441,53549,8998.0,6100000.0
2008-11-25,1524,1524,1373,1388,32643,8662.0,6100000.0
2008-11-26,1436,1436,1270,1383,65385,8632.0,6100000.0
2008-11-27,1382,1460,1353,1353,87477,8448.0,6100000.0
2008-11-28,1417,1417,1329,1353,51206,8448.0,6100000.0
2008-12-01,1412,1421,1348,1417,45549,8845.0,6100000.0
2008-12-02,1319,1353,1289,1339,40704,8357.0,6100000.0
2008-12-03,1446,1446,1260,1324,23565,8266.0,6100000.0
2008-12-04,1333,1377,1206,1324,35695,8266.0,6100000.0
2008-12-05,1324,1324,1211,1319,25196,8235.0,6100000.0
2008-12-08,1289,1387,1270,1344,49908,8388.0,6100000.0
2008-12-09,1407,1407,1304,1344,24392,8388.0,6100000.0
2008-12-10,1338,1509,1280,1437,61544,8967.0,6100000.0
2008-12-11,1446,1627,1382,1564,103747,9760.0,6100000.0
2008-12-12,1470,1602,1465,1510,34985,9424.0,6100000.0
2008-12-15,1553,1588,1426,1505,31294,9394.0,6100000.0
2008-12-16,1553,1553,1465,1490,33728,9302.0,6100000.0
2008-12-17,1553,1607,1426,1500,72941,9364.0,6100000.0
2008-12-18,1456,1724,1446,1725,206482,10766.0,6100000.0
2008-12-19,1724,1934,1719,1749,342303,10919.0,6100000.0
2008-12-22,1749,1827,1700,1788,53432,11163.0,6100000.0
2008-12-23,1842,1842,1539,1588,62208,9912.0,6100000.0
2008-12-24,1534,1636,1504,1564,36807,9760.0,6100000.0
2008-12-26,1651,1651,1504,1564,40030,9760.0,6100000.0
2008-12-29,1729,1729,1485,1495,12910,9333.0,6100000.0
2008-12-30,1495,1592,1465,1534,15693,9577.0,6100000.0
