프로스테믹스(203690),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2014-09-30,4090,4100,4010,4040,2224499,21250.0,10520000.0
2014-10-01,4040,4050,4030,4030,387586,21198.0,10520000.0
2014-10-02,4020,4030,4010,4030,230908,21198.0,10520000.0
2014-10-06,4030,4030,4010,4010,202122,21093.0,10520000.0
2014-10-07,4010,4030,4000,4020,368674,21145.0,10520000.0
2014-10-08,4020,4040,4010,4030,353070,21198.0,10520000.0
2014-10-10,4030,4030,4010,4010,319415,21093.0,10520000.0
2014-10-13,4010,4010,3980,3990,269443,20987.0,10520000.0
2014-10-14,3980,3990,3970,3980,109227,20935.0,10520000.0
2014-10-15,3990,3990,3980,3990,26119,20987.0,10520000.0
2014-10-16,3990,4000,3970,3990,127574,20987.0,10520000.0
2014-10-17,3990,4020,3990,4020,157462,21145.0,10520000.0
2014-10-20,4020,4020,4000,4020,89991,21145.0,10520000.0
2014-10-21,4010,4020,4010,4020,34891,21145.0,10520000.0
2014-10-22,4010,4010,4000,4000,94629,21040.0,10520000.0
2014-10-23,4000,4010,4000,4000,57938,21040.0,10520000.0
2014-10-24,4000,4020,4000,4010,76241,21093.0,10520000.0
2014-10-27,4000,4010,4000,4000,150024,21040.0,10520000.0
2014-10-28,4000,4010,4000,4010,172237,21093.0,10520000.0
2014-10-29,4010,4060,4010,4060,229866,21356.0,10520000.0
2014-10-30,4060,4060,4030,4050,117936,21303.0,10520000.0
2014-10-31,4050,4080,4050,4080,189238,21461.0,10520000.0
2014-11-03,4080,4080,4020,4020,110899,21145.0,10520000.0
2014-11-04,4040,4040,4000,4020,149952,21145.0,10520000.0
2014-11-05,4040,4040,4000,4030,82165,21198.0,10520000.0
2014-11-06,4030,4030,4020,4030,26278,21198.0,10520000.0
2014-11-07,4020,4070,4020,4060,107523,21356.0,10520000.0
2014-11-10,4080,4080,4040,4070,61387,21408.0,10520000.0
2014-11-11,4060,4060,4030,4060,43808,21356.0,10520000.0
2014-11-12,4060,4080,4020,4060,125522,21356.0,10520000.0
2014-11-13,4020,4070,4020,4060,29853,21356.0,10520000.0
2014-11-14,4060,4060,4020,4020,123612,21145.0,10520000.0
2014-11-17,4040,4050,4030,4030,41371,21198.0,10520000.0
2014-11-18,4030,4040,4020,4030,48280,21198.0,10520000.0
2014-11-19,4030,4040,4030,4030,64943,21198.0,10520000.0
2014-11-20,4030,4040,4030,4040,46905,21250.0,10520000.0
