동아엘텍(088130),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2007-01-03,4841,4987,4261,4311,1799282,27500.0,4400000.0
2007-01-04,4426,4536,4026,4140,355080,26400.0,4400000.0
2007-01-05,4206,4260,3756,3761,792182,23980.0,4400000.0
2007-01-08,3689,3841,3509,3567,215600,22748.0,4400000.0
2007-01-09,3529,3619,3446,3519,214501,22440.0,4400000.0
2007-01-10,3530,3695,3468,3567,257543,22748.0,4400000.0
2007-01-11,3695,3792,3558,3588,243515,22880.0,4400000.0
2007-01-12,3599,3756,3599,3684,160361,23496.0,4400000.0
2007-01-15,3786,4172,3723,3864,396091,24640.0,4400000.0
2007-01-16,3826,3931,3654,3669,162249,23408.0,4400000.0
2007-01-17,3612,3653,3529,3595,95068,22924.0,4400000.0
2007-01-18,3558,3682,3530,3559,84280,22704.0,4400000.0
2007-01-19,3530,3571,3358,3360,133512,21428.0,4400000.0
2007-01-22,3358,3447,3247,3263,67301,20812.0,4400000.0
2007-01-23,3240,3347,3220,3256,63838,20768.0,4400000.0
2007-01-24,3232,3387,3232,3377,74056,21538.0,4400000.0
2007-01-25,3358,3426,3306,3346,70311,21340.0,4400000.0
2007-01-26,3274,3302,3227,3260,84356,20790.0,4400000.0
2007-01-29,3257,3374,3253,3256,37824,20768.0,4400000.0
2007-01-30,3322,3336,3226,3250,82119,20724.0,4400000.0
2007-01-31,3240,3280,3067,3092,106690,19712.0,4400000.0
2007-02-01,3164,3201,3087,3112,49721,19844.0,4400000.0
2007-02-02,3149,3274,3146,3215,69820,20504.0,4400000.0
2007-02-05,3174,3309,3174,3253,70679,20746.0,4400000.0
2007-02-06,3274,3333,3254,3281,66286,20922.0,4400000.0
2007-02-07,3288,3305,3240,3290,57434,20988.0,4400000.0
2007-02-08,3310,3439,3306,3380,81064,21560.0,4400000.0
2007-02-09,3391,3502,3350,3414,81793,21780.0,4400000.0
2007-02-12,3378,3426,3344,3387,62489,21604.0,4400000.0
2007-02-13,3413,3544,3399,3546,96247,22616.0,4400000.0
2007-02-14,3579,3579,3489,3504,71030,22352.0,4400000.0
2007-02-15,3502,3537,3388,3422,61365,21824.0,4400000.0
2007-02-16,3494,3494,3301,3332,46838,21252.0,4400000.0
2007-02-20,3305,3357,3267,3315,54417,21142.0,4400000.0
2007-02-21,3315,3475,3310,3405,70655,21714.0,4400000.0
2007-02-22,3442,3598,3412,3491,156404,22264.0,4400000.0
2007-02-23,3494,3536,3446,3477,54023,22176.0,4400000.0
2007-02-26,3434,3550,3399,3429,81493,21868.0,4400000.0
2007-02-27,3426,3481,3358,3405,77594,21714.0,4400000.0
2007-02-28,3153,3309,3111,3256,59638,20768.0,4400000.0
2007-03-02,3254,3313,3209,3304,43206,21076.0,4400000.0
2007-03-05,3258,3344,3154,3221,60529,20548.0,4400000.0
2007-03-06,3185,3268,3179,3239,77787,20658.0,4400000.0
2007-03-07,3240,3309,3216,3230,60357,20592.0,4400000.0
2007-03-08,3206,3251,3202,3242,91254,20680.0,4400000.0
2007-03-09,3274,3274,3223,3242,63478,20680.0,4400000.0
2007-03-12,3289,3289,3202,3221,67933,20548.0,4400000.0
2007-03-13,3237,3246,3188,3209,69449,20460.0,4400000.0
2007-03-14,3129,3185,3123,3163,49765,20174.0,4400000.0
2007-03-15,3178,3232,3160,3194,42389,20372.0,4400000.0
2007-03-16,3160,3309,3160,3253,70288,20746.0,4400000.0
2007-03-19,3280,3343,3250,3329,80373,21230.0,4400000.0
2007-03-20,3347,3384,3309,3332,77109,21252.0,4400000.0
2007-03-21,3343,3391,3319,3377,88600,21538.0,4400000.0
2007-03-22,3409,3633,3402,3485,222630,22220.0,4400000.0
2007-03-23,3529,3998,3488,3961,781062,25256.0,4400000.0
2007-03-26,3868,3923,3695,3849,283634,24552.0,4400000.0
2007-03-27,3805,3922,3695,3698,181945,23584.0,4400000.0
2007-03-28,3695,3896,3626,3898,178508,24860.0,4400000.0
2007-03-29,3998,4094,3730,3815,217526,24332.0,4400000.0
2007-03-30,3813,3855,3716,3822,89260,24376.0,4400000.0
2007-04-02,3819,3854,3709,3732,115515,23804.0,4400000.0
2007-04-03,3743,4288,3632,4120,557095,26268.0,4400000.0
2007-04-04,4130,4171,4019,4120,170569,26268.0,4400000.0
2007-04-05,4110,4219,4061,4111,146876,26224.0,4400000.0
2007-04-06,4123,4197,4033,4036,97417,25740.0,4400000.0
2007-04-09,4069,4069,3813,3849,163968,24552.0,4400000.0
2007-04-10,3881,3916,3777,3822,81274,24376.0,4400000.0
2007-04-11,3834,3902,3799,3864,125153,24640.0,4400000.0
2007-04-12,3889,3978,3834,3885,140634,24772.0,4400000.0
2007-04-13,3910,3992,3841,3870,161854,24684.0,4400000.0
2007-04-16,3943,4343,3867,4202,471972,26796.0,4400000.0
2007-04-17,4267,4267,4012,4022,182351,25652.0,4400000.0
2007-04-18,4033,4144,4019,4036,148961,25740.0,4400000.0
2007-04-19,4034,4069,3936,4029,126146,25696.0,4400000.0
2007-04-20,4069,4172,4034,4132,135285,26356.0,4400000.0
2007-04-23,4192,4192,3977,3980,130642,25388.0,4400000.0
2007-04-24,4027,4041,3806,3911,118791,24948.0,4400000.0
2007-04-25,3922,3930,3695,3698,116716,23584.0,4400000.0
2007-04-26,3751,3792,3682,3705,67976,23628.0,4400000.0
2007-04-27,3723,3723,3550,3580,62033,22836.0,4400000.0
2007-04-30,3606,3695,3426,3464,94026,22088.0,4400000.0
2007-05-02,3495,3640,3495,3643,43639,23232.0,4400000.0
2007-05-03,3654,3710,3613,3684,35388,23496.0,4400000.0
2007-05-04,3681,3730,3632,3657,22698,23320.0,4400000.0
2007-05-07,3661,3751,3661,3746,23950,23892.0,4400000.0
2007-05-08,3786,3792,3661,3663,39534,23364.0,4400000.0
2007-05-09,3660,3730,3585,3636,28967,23188.0,4400000.0
2007-05-10,3709,3722,3632,3657,31094,23320.0,4400000.0
2007-05-11,3653,3688,3544,3636,46600,23188.0,4400000.0
2007-05-14,3654,3703,3585,3588,48146,22880.0,4400000.0
2007-05-15,3585,3722,3585,3657,56929,23320.0,4400000.0
2007-05-16,3715,3715,3598,3678,31012,23452.0,4400000.0
2007-05-17,3681,3736,3653,3691,42569,23540.0,4400000.0
2007-05-18,3688,3791,3668,3781,57180,24112.0,4400000.0
2007-05-21,3750,3826,3730,3774,34113,24068.0,4400000.0
2007-05-22,3771,3805,3709,3732,36418,23804.0,4400000.0
2007-05-23,3751,3756,3682,3725,42203,23760.0,4400000.0
2007-05-25,3688,3764,3626,3732,32703,23804.0,4400000.0
2007-05-28,3744,3889,3744,3890,66768,24816.0,4400000.0
2007-05-29,3964,4094,3867,3954,90861,25212.0,4400000.0
2007-05-30,3964,4033,3812,3856,44652,24596.0,4400000.0
2007-05-31,3841,3923,3799,3926,47538,25036.0,4400000.0
2007-06-01,3910,3985,3772,3807,49817,24288.0,4400000.0
2007-06-04,3792,3868,3731,3807,30406,24288.0,4400000.0
2007-06-05,3826,3826,3702,3761,34691,23980.0,4400000.0
2007-06-07,3756,4165,3723,4008,441409,25564.0,4400000.0
2007-06-08,4095,4331,4041,4207,321810,26840.0,4400000.0
2007-06-11,4302,4372,4172,4228,212768,26972.0,4400000.0
