지트리비앤티(115450),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-03-26,17496,20120,17496,20121,1185890,105805.0,4182000.0
2010-03-29,23103,23103,22307,23103,1243121,121487.0,4182000.0
2010-03-30,23461,23461,20836,21393,2586196,112496.0,4182000.0
2010-03-31,21353,22625,18291,19087,1337598,100368.0,4182000.0
2010-04-01,19643,20041,17894,19365,1345221,101832.0,4182000.0
2010-04-02,18888,19246,17377,17695,705322,93050.0,4182000.0
2010-04-05,18212,20319,18053,19087,2751129,100368.0,4182000.0
2010-04-06,19007,19007,17058,17377,990252,96600.0,4421065.0
2010-04-07,17655,17695,14792,14792,1735756,82232.0,4421065.0
2010-04-08,14514,15587,13798,14951,1670844,83116.0,4421065.0
2010-04-09,15349,15985,14633,15548,1346570,86432.0,4421065.0
2010-04-12,15905,15985,14911,15031,448395,83558.0,4421065.0
2010-04-13,15269,17257,14991,17258,2026016,95937.0,4421065.0
2010-04-14,18053,19444,17894,18212,1769223,101242.0,4421065.0
2010-04-15,18450,19206,17894,18769,1093429,104337.0,4421065.0
2010-04-16,19126,19564,17973,18133,824140,100800.0,4421065.0
2010-04-19,17854,18768,17218,17218,397478,95716.0,4421065.0
2010-04-20,17575,18212,17058,17218,426976,95716.0,4421065.0
2010-04-21,17456,19047,17416,18570,861726,103232.0,4421065.0
2010-04-22,18848,19047,18013,18133,400417,100800.0,4421065.0
2010-04-23,18331,18768,17973,18689,455825,103895.0,4421065.0
2010-04-26,18927,19802,18649,18689,822220,103895.0,4421065.0
2010-04-27,18530,18848,17734,17894,394101,99474.0,4421065.0
2010-04-28,17297,18689,17218,18411,455810,102348.0,4421065.0
2010-04-29,18570,18649,17615,17616,285657,97927.0,4421065.0
2010-04-30,17774,18212,17536,17536,344791,97484.0,4421065.0
2010-05-03,17337,17496,15905,16303,360058,90632.0,4421065.0
2010-05-04,16502,16661,15468,15508,258577,86211.0,4421065.0
2010-05-06,14951,15547,14712,15190,211229,84442.0,4421065.0
2010-05-07,14553,15667,14315,15508,220214,86211.0,4421065.0
2010-05-10,15786,16263,15667,16025,125268,89084.0,4421065.0
2010-05-11,16223,16223,15229,15230,149901,84663.0,4421065.0
2010-05-12,15388,15428,14832,14832,180524,82453.0,4421065.0
2010-05-13,15070,16462,14991,16184,340976,89969.0,4421065.0
2010-05-14,16025,16462,15866,16303,204437,90632.0,4421065.0
2010-05-17,15985,16184,15150,15150,164241,84221.0,4421065.0
2010-05-18,15508,15508,14434,14633,123598,81348.0,4421065.0
2010-05-19,14474,15030,14315,14594,78819,81127.0,4421065.0
2010-05-20,14553,14951,12406,12764,197627,70958.0,4421065.0
2010-05-24,12565,13122,12088,12645,115848,70295.0,4421065.0
2010-05-25,12486,12486,10776,10776,437653,59905.0,4421065.0
2010-05-26,11213,12247,10935,12088,261337,67200.0,4421065.0
2010-05-27,11889,12684,11611,11929,162349,66316.0,4421065.0
2010-05-28,12207,13201,12207,12208,435718,67863.0,4421065.0
2010-05-31,12207,12605,12207,12287,105272,68305.0,4421065.0
2010-06-01,12366,13002,12207,12407,183570,69390.0,4448065.0
2010-06-03,12804,13042,12486,12605,160590,70502.0,4448065.0
2010-06-04,12724,13360,12406,13202,254396,73838.0,4448065.0
2010-06-07,12883,13798,12565,13202,429752,73838.0,4448065.0
2010-06-08,13321,13718,12804,13003,237914,72726.0,4448065.0
2010-06-09,13042,13042,12287,12566,186717,70279.0,4448065.0
2010-06-10,12486,12804,12247,12526,153073,70057.0,4448065.0
2010-06-11,12804,14315,12645,13202,994214,73838.0,4448065.0
2010-06-14,13281,13519,12883,13202,201339,73838.0,4448065.0
2010-06-15,13440,13639,12963,13122,219824,73393.0,4448065.0
2010-06-16,13321,13758,13201,13520,310555,75617.0,4448065.0
2010-06-17,13599,13718,12406,12486,295755,69835.0,4448065.0
2010-06-18,12645,12645,12048,12407,159779,69390.0,4448065.0
2010-06-21,12486,12843,12406,12446,178299,69612.0,4448065.0
2010-06-22,12366,12446,12128,12407,108603,69390.0,4448065.0
2010-06-23,12406,13082,12207,12963,176342,72503.0,4448065.0
2010-06-24,13241,13838,11849,11929,1123738,66721.0,4448065.0
2010-06-25,11650,11889,11531,11691,212652,65387.0,4448065.0
2010-06-28,11810,11969,11650,11890,106387,66499.0,4448065.0
2010-06-29,11929,12207,11690,12168,170843,68055.0,4448065.0
2010-06-30,12167,12247,10855,10935,688534,61161.0,4448065.0
2010-07-01,11014,11332,10656,10935,190823,61161.0,4448065.0
2010-07-02,11054,11054,10577,10577,123551,59159.0,4448065.0
2010-07-05,10577,10696,9861,9941,193276,55601.0,4448065.0
2010-07-06,10060,10100,9503,9782,163822,54711.0,4448065.0
2010-07-07,9821,11173,9742,10339,654742,57825.0,4448065.0
2010-07-08,10497,10656,10219,10219,160897,57158.0,4448065.0
2010-07-09,10299,10299,9782,9941,167245,55601.0,4448065.0
2010-07-12,9980,10458,9941,10379,204300,58047.0,4448065.0
2010-07-13,10497,10895,10219,10219,185226,57158.0,4448065.0
2010-07-14,10378,10418,10100,10299,127766,57602.0,4448065.0
2010-07-15,10378,10736,10100,10458,373810,58492.0,4448065.0
2010-07-16,10577,10656,9941,10180,332594,56935.0,4448065.0
2010-07-19,10100,10458,10060,10458,101401,58492.0,4448065.0
2010-07-20,10577,10656,9583,9742,490057,54489.0,4448065.0
2010-07-21,9941,9941,9543,9543,152538,53377.0,4448065.0
2010-07-22,9503,9662,8787,8907,188332,49818.0,4448065.0
2010-07-23,9066,9185,8708,8907,139904,49818.0,4448065.0
2010-07-26,8986,9145,8827,8867,100141,49596.0,4448065.0
2010-07-27,8986,9106,8827,8867,100486,49596.0,4448065.0
2010-07-28,8907,9384,8907,9066,218076,50708.0,4448065.0
2010-07-29,9066,9265,8986,8987,89868,50263.0,4448065.0
2010-07-30,8986,9106,8748,8867,86975,49596.0,4448065.0
2010-08-02,8867,9185,8827,8907,105753,49818.0,4448065.0
2010-08-03,9145,9225,8787,8788,158961,49151.0,4448065.0
2010-08-04,8787,8986,8748,8748,72004,48929.0,4448065.0
2010-08-05,8748,9066,8628,8867,220195,49596.0,4448065.0
2010-08-06,8907,8986,8708,8867,275647,49596.0,4448065.0
2010-08-09,8787,8907,8708,8907,111080,49818.0,4448065.0
2010-08-10,9145,9304,8748,8788,302180,49151.0,4448065.0
2010-08-11,8867,9066,8628,8907,156484,49818.0,4448065.0
2010-08-12,8708,9225,8549,9186,137012,51375.0,4448065.0
2010-08-13,9424,9742,7833,7834,954038,43813.0,4448065.0
2010-08-16,7913,7913,7443,7794,406214,43591.0,4448065.0
2010-08-17,7793,7793,7579,7635,121324,42701.0,4448065.0
2010-08-18,7642,7825,7626,7714,119067,43146.0,4448065.0
2010-08-19,7714,8111,7658,7722,518730,43191.0,4448065.0
2010-08-20,7634,7785,7634,7667,79673,42879.0,4448065.0
2010-08-23,7762,7873,7642,7643,80993,42746.0,4448065.0
2010-08-24,7555,7714,7316,7571,186118,42346.0,4448065.0
2010-08-25,7730,7746,7292,7293,246953,40789.0,4448065.0
2010-08-26,7555,7555,7316,7325,72355,40967.0,4448065.0
2010-08-27,7324,7420,7165,7197,69244,40255.0,4448065.0
2010-08-30,7237,7921,7237,7595,239119,42479.0,4448065.0
2010-08-31,7618,7618,7356,7428,49870,41545.0,4448065.0
2010-09-01,7475,7674,7451,7500,51274,41945.0,4448065.0
2010-09-02,7698,7698,7499,7563,48713,42301.0,4448065.0
2010-09-03,7618,7754,7618,7659,67814,42835.0,4448065.0
2010-09-06,7769,7769,7634,7738,63177,43280.0,4448065.0
2010-09-07,7825,8867,7793,8867,671745,49596.0,4448065.0
2010-09-08,8628,8907,8509,8788,389846,49151.0,4448065.0
2010-09-09,8986,9225,8787,9186,334703,51375.0,4448065.0
2010-09-10,9145,9463,8867,9106,239276,50930.0,4448065.0
2010-09-13,9225,9583,8947,8987,234181,50263.0,4448065.0
2010-09-14,9145,9225,8628,8788,157748,49151.0,4448065.0
2010-09-15,8947,8947,8509,8788,114740,49151.0,4448065.0
2010-09-16,8907,9543,8827,9027,286139,50486.0,4448065.0
2010-09-17,9265,9424,8947,9384,152969,52487.0,4448065.0
2010-09-20,9424,9543,9145,9146,130615,51153.0,4448065.0
2010-09-24,9066,9344,9066,9106,60249,50930.0,4448065.0
2010-09-27,9106,9344,8628,8669,192890,48484.0,4448065.0
2010-09-28,8708,8947,8668,8947,93347,50041.0,4448065.0
2010-09-29,9026,9265,8867,9146,105319,51153.0,4448065.0
2010-09-30,9185,9265,9026,9186,68585,51375.0,4448065.0
2010-10-01,9145,9782,9145,9345,189485,52265.0,4448065.0
2010-10-04,9384,9583,8986,8987,95789,50263.0,4448065.0
2010-10-05,9026,9265,8947,9225,65410,51598.0,4448065.0
2010-10-06,9384,9424,8986,9345,131571,52265.0,4448065.0
2010-10-07,9384,9384,9026,9027,93756,50486.0,4448065.0
2010-10-08,9026,9106,8907,9027,49057,50486.0,4448065.0
2010-10-11,8986,9185,8907,9027,69314,50486.0,4448065.0
2010-10-12,8947,9106,8668,8947,63627,50041.0,4448065.0
2010-10-13,8986,9344,8907,9186,116585,51375.0,4448065.0
2010-10-14,9344,9941,9066,9941,242271,55601.0,4448065.0
2010-10-15,10020,10259,9821,9862,249114,55156.0,4448065.0
2010-10-18,10100,10259,9941,10180,141563,56935.0,4448065.0
2010-10-19,10299,10378,9702,9703,108795,54266.0,4448065.0
2010-10-20,9583,10179,9583,10140,121761,56713.0,4448065.0
2010-10-21,10259,10259,9941,10140,115242,56713.0,4448065.0
2010-10-22,10259,10458,9821,10339,174319,57825.0,4448065.0
2010-10-25,10418,11014,10299,10895,232902,60938.0,4448065.0
2010-10-26,10895,11014,10418,10418,153628,58270.0,4448065.0
2010-10-27,10497,11293,10378,10935,268631,61161.0,4448065.0
2010-10-28,10895,11014,10656,10816,90065,60494.0,4448065.0
2010-10-29,10895,10895,10299,10498,151789,58714.0,4448065.0
2010-11-01,10656,11054,10497,11015,170272,61606.0,4448065.0
2010-11-02,11213,12008,11054,11890,501203,66499.0,4448065.0
2010-11-03,11969,12247,11690,12247,294742,68500.0,4448065.0
2010-11-04,12724,14076,12684,14077,1177214,78731.0,4448065.0
2010-11-05,14553,14593,13122,13122,1131389,73393.0,4448065.0
2010-11-08,12883,13440,12287,13440,778822,75172.0,4448065.0
2010-11-09,13678,13877,12406,12407,459948,69390.0,4448065.0
2010-11-10,12406,13082,12247,12884,326977,72059.0,4448065.0
2010-11-11,12804,12843,12287,12287,240108,68723.0,4448065.0
2010-11-12,12048,12366,10696,11293,474509,63163.0,4448065.0
2010-11-15,11213,11452,10736,10935,128734,61161.0,4448065.0
2010-11-16,11094,11332,10736,11333,134835,63385.0,4448065.0
2010-11-17,10974,12088,10974,11611,155355,64942.0,4448065.0
2010-11-18,11531,11770,11412,11651,99768,65164.0,4448065.0
2010-11-19,11730,11730,11173,11253,118752,62940.0,4448065.0
2010-11-22,11332,11491,11014,11094,112801,62051.0,4448065.0
2010-11-23,11094,11491,11054,11094,112963,62051.0,4448065.0
2010-11-24,10139,10895,10139,10697,191141,59826.0,4448065.0
