한국공항(005430),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,19000,22600,19000,21350,21300,21350.0,1000000.0
1999-01-05,21400,23500,20400,23500,39080,23500.0,1000000.0
1999-01-06,23500,25500,23500,24200,35740,24200.0,1000000.0
1999-01-07,24200,24500,23300,24000,35100,24000.0,1000000.0
1999-01-08,24500,24500,23100,23600,14860,23600.0,1000000.0
1999-01-11,23600,25000,23600,24900,27940,24900.0,1000000.0
1999-01-12,25100,25100,23600,24000,19460,24000.0,1000000.0
1999-01-13,23700,25000,23200,24500,33860,24500.0,1000000.0
1999-01-14,24600,24600,20850,23000,20280,23000.0,1000000.0
1999-01-15,23000,23200,22100,22400,14980,22400.0,1000000.0
1999-01-18,22000,24000,22000,23400,23510,23400.0,1000000.0
1999-01-19,24000,24300,23000,23200,20070,23200.0,1000000.0
1999-01-20,23400,23400,22700,23150,32280,23150.0,1000000.0
1999-01-21,22700,23700,21600,22000,11370,22000.0,1000000.0
1999-01-22,22900,22900,20300,20900,5690,20900.0,1000000.0
1999-01-25,20500,20500,19500,19600,9490,19600.0,1000000.0
1999-01-26,19100,20500,19100,19800,15880,19800.0,1000000.0
1999-01-27,20000,20400,19500,19700,6190,19700.0,1000000.0
1999-01-28,19500,21000,19500,20200,7960,20200.0,1000000.0
1999-01-29,20200,21000,20200,20300,4860,20300.0,1000000.0
1999-02-01,20400,21700,20400,21600,4970,21600.0,1000000.0
1999-02-02,21000,23500,21000,22900,27630,22900.0,1000000.0
1999-02-03,23500,23500,21600,22500,19800,22500.0,1000000.0
1999-02-04,22500,22500,21200,21250,4600,21250.0,1000000.0
1999-02-05,21250,22000,21200,21200,5680,21200.0,1000000.0
1999-02-08,22150,22150,20900,20900,4680,20900.0,1000000.0
1999-02-09,20900,20900,19200,19300,6640,19300.0,1000000.0
1999-02-10,19300,20900,19200,19600,11630,19600.0,1000000.0
1999-02-11,19600,20500,19500,20100,13960,20100.0,1000000.0
1999-02-12,19600,20800,19600,20000,5440,20000.0,1000000.0
1999-02-18,21400,21400,19800,20000,4120,20000.0,1000000.0
1999-02-19,19800,20000,19250,20000,3660,20000.0,1000000.0
1999-02-22,20000,20000,19100,19300,1850,19300.0,1000000.0
1999-02-23,19350,19800,18300,19750,3780,19750.0,1000000.0
1999-02-24,19000,20000,19000,19100,2250,19100.0,1000000.0
1999-02-25,18500,19400,18500,19000,3070,19000.0,1000000.0
1999-02-26,19000,20300,19000,20300,5940,20300.0,1000000.0
1999-03-02,20200,20500,19500,20500,6250,20500.0,1000000.0
1999-03-03,21000,21500,19800,21400,15230,21400.0,1000000.0
1999-03-04,21500,21500,20650,21000,10400,21000.0,1000000.0
1999-03-05,21200,21400,20500,21000,12280,21000.0,1000000.0
1999-03-08,20500,21700,20500,21300,8780,21300.0,1000000.0
1999-03-09,21600,23000,21300,22700,24030,22700.0,1000000.0
1999-03-10,22300,22700,22300,22400,13140,22400.0,1000000.0
1999-03-11,22500,23200,22400,22800,21140,22800.0,1000000.0
1999-03-12,21600,23800,21600,23500,22860,23500.0,1000000.0
1999-03-15,23000,23800,23000,23100,17920,23100.0,1000000.0
1999-03-16,23000,24400,23000,24000,34590,24000.0,1000000.0
1999-03-17,24900,24900,24100,24500,17770,24500.0,1000000.0
1999-03-18,24500,24600,23200,23500,40460,23500.0,1000000.0
1999-03-19,22100,24000,22100,23900,9470,23900.0,1000000.0
1999-03-22,23200,24300,23200,23300,15740,23300.0,1000000.0
1999-03-23,23350,24200,23200,23800,10780,23800.0,1000000.0
1999-03-24,23500,24000,23300,23800,12230,23800.0,1000000.0
1999-03-25,22800,24100,22800,23800,11650,23800.0,1000000.0
1999-03-26,23800,23900,23500,23900,7750,23900.0,1000000.0
1999-03-29,23600,23700,23300,23300,5950,23300.0,1000000.0
1999-03-30,23300,24300,23300,24100,18050,24100.0,1000000.0
1999-03-31,23650,24700,23650,24100,21320,24100.0,1000000.0
1999-04-01,24100,24700,24000,24450,14430,24450.0,1000000.0
1999-04-02,25100,25600,24550,25600,41110,25600.0,1000000.0
1999-04-06,25600,26800,25600,26300,26850,26300.0,1000000.0
1999-04-07,26700,26900,26150,26700,25160,26700.0,1000000.0
1999-04-08,25700,26700,25700,26500,10780,26500.0,1000000.0
1999-04-09,26500,29800,26500,27200,30770,27200.0,1000000.0
1999-04-12,27300,28800,26800,27500,14480,27500.0,1000000.0
1999-04-13,27650,28900,27500,27500,21760,27500.0,1000000.0
1999-04-14,27000,28500,27000,27500,13960,27500.0,1000000.0
1999-04-15,27000,30500,27000,30500,43210,30500.0,1000000.0
1999-04-16,30500,33500,30500,33500,51350,33500.0,1000000.0
1999-04-19,34000,36000,33500,35900,35880,35900.0,1000000.0
1999-04-20,36050,37000,35800,36000,20400,36000.0,1000000.0
1999-04-21,35000,36000,34200,34500,15740,34500.0,1000000.0
1999-04-22,33100,33500,32300,33500,14860,33500.0,1000000.0
1999-04-23,34400,34400,33500,34000,33130,34000.0,1000000.0
1999-04-26,33500,34500,33100,33500,18370,33500.0,1000000.0
1999-04-27,34000,34000,33500,33500,48590,33500.0,1000000.0
1999-04-28,33500,33600,32500,33000,20990,33000.0,1000000.0
1999-04-29,32500,34000,31700,33900,19690,33900.0,1000000.0
1999-04-30,33500,38500,33400,35300,18540,35300.0,1000000.0
1999-05-03,35300,37000,34900,35400,5280,35400.0,1000000.0
1999-05-04,35400,36400,35100,35600,8730,35600.0,1000000.0
1999-05-06,35600,37100,35000,36100,23880,36100.0,1000000.0
1999-05-07,37000,38000,36100,37500,14120,37500.0,1000000.0
1999-05-10,37000,39800,36500,38000,20390,38000.0,1000000.0
1999-05-11,38500,39500,37900,39500,34080,39500.0,1000000.0
1999-05-12,39500,39500,36400,37000,20370,37000.0,1000000.0
1999-05-13,36500,37400,35500,36400,16840,36400.0,1000000.0
1999-05-14,37000,37000,35100,36000,8180,36000.0,1000000.0
1999-05-17,35200,36000,34000,35000,2930,35000.0,1000000.0
1999-05-18,33500,35000,33150,33600,1930,33600.0,1000000.0
1999-05-19,34000,34700,33000,33900,4920,33900.0,1000000.0
1999-05-20,34000,34000,31000,32800,6300,32800.0,1000000.0
1999-05-21,33400,33400,32800,33200,3660,33200.0,1000000.0
1999-05-24,31100,38000,31100,34000,3360,34000.0,1000000.0
1999-05-25,34100,34800,33000,34800,5840,34800.0,1000000.0
1999-05-26,34700,38000,34700,38000,13310,38000.0,1000000.0
1999-05-27,35100,39900,35100,38000,7330,120321.0,3166355.0
1999-05-28,38100,39850,37050,38500,5590,121905.0,3166355.0
1999-05-31,39500,39500,36300,38000,5570,120321.0,3166355.0
1999-06-01,35200,38000,35200,38000,4240,120321.0,3166355.0
1999-06-02,36550,38000,36550,37900,22320,120005.0,3166355.0
