세방(004360),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,1864,1864,1788,1833,144900,24100.0,1000000.0
1999-01-05,1841,1978,1834,1955,242400,25700.0,1000000.0
1999-01-06,2016,2248,2016,2248,424100,29550.0,1000000.0
1999-01-07,2335,2419,2282,2418,514000,31800.0,1000000.0
1999-01-08,2358,2404,2320,2335,175900,30700.0,1000000.0
1999-01-11,2290,2579,2290,2579,331500,33900.0,1000000.0
1999-01-12,2663,2663,2434,2579,141900,33900.0,1000000.0
1999-01-13,2518,2640,2472,2472,100100,32500.0,1000000.0
1999-01-14,2359,2572,2359,2549,199900,33500.0,1000000.0
1999-01-15,2510,2548,2472,2540,146200,33400.0,1000000.0
1999-01-18,2549,2640,2526,2549,153500,33500.0,1000000.0
1999-01-19,2556,2556,2472,2472,79000,32500.0,1000000.0
1999-01-20,2473,2473,2359,2434,29000,32000.0,1000000.0
1999-01-21,2290,2351,2183,2350,75000,30900.0,1000000.0
1999-01-22,2062,2207,2062,2130,64100,28000.0,1000000.0
1999-01-25,2062,2146,1940,1993,76300,26200.0,1000000.0
1999-01-26,1993,2085,1993,2023,38500,26600.0,1000000.0
1999-01-27,1986,2130,1986,2031,49000,26700.0,1000000.0
1999-01-28,2259,2282,2092,2282,42200,30000.0,1000000.0
1999-01-29,2092,2275,2092,2244,47300,29500.0,1000000.0
1999-02-01,2244,2282,2168,2282,107600,30000.0,1000000.0
1999-02-02,2282,2282,2172,2267,16200,29800.0,1000000.0
1999-02-03,2169,2359,2169,2305,71500,30300.0,1000000.0
1999-02-04,2320,2320,2221,2297,14800,30200.0,1000000.0
1999-02-05,2244,2282,2241,2240,25000,29450.0,1000000.0
1999-02-08,2130,2241,2130,2130,48800,28000.0,1000000.0
1999-02-09,2130,2130,2001,2084,22600,27400.0,1000000.0
1999-02-10,2130,2130,2054,2130,7000,28000.0,1000000.0
1999-02-11,2065,2168,2065,2167,9300,28500.0,1000000.0
1999-02-12,2138,2165,2130,2164,28300,28450.0,1000000.0
1999-02-18,2206,2206,2160,2167,39500,28500.0,1000000.0
1999-02-19,2130,2175,2061,2175,44000,28600.0,1000000.0
1999-02-22,2176,2176,2092,2092,6000,27500.0,1000000.0
1999-02-23,1978,2092,1978,2077,5400,27300.0,1000000.0
1999-02-24,1978,1978,1978,1977,2500,26000.0,1000000.0
1999-02-25,1902,2008,1902,1977,27900,26000.0,1000000.0
1999-02-26,1978,2092,1978,2092,7800,27500.0,1000000.0
1999-03-02,2092,2130,1982,1982,13800,26050.0,1000000.0
1999-03-03,1978,2054,1978,2046,33600,26900.0,1000000.0
1999-03-04,1986,2031,1986,2031,8800,26700.0,1000000.0
1999-03-05,1986,2077,1986,2077,33600,27300.0,1000000.0
1999-03-08,1986,2199,1986,2122,41200,27900.0,1000000.0
1999-03-09,2122,2168,2069,2167,160400,28500.0,1000000.0
1999-03-10,2168,2419,2115,2114,63900,27800.0,1000000.0
1999-03-11,2065,2244,2065,2160,27300,28400.0,1000000.0
1999-03-12,2160,2160,2122,2160,10300,28400.0,1000000.0
1999-03-15,2164,2214,2069,2206,95000,29000.0,1000000.0
1999-03-16,2150,2210,2150,2210,47000,29050.0,1000000.0
1999-03-17,2176,2206,2153,2206,34600,29000.0,1000000.0
1999-03-18,2168,2206,2160,2167,23400,28500.0,1000000.0
1999-03-19,2214,2245,2169,2244,47200,29500.0,1000000.0
1999-03-22,2267,2404,2229,2403,197700,31600.0,1000000.0
1999-03-23,2283,2305,2252,2252,10200,29600.0,1000000.0
1999-03-24,2252,2351,2207,2305,43700,30300.0,1000000.0
1999-03-25,2320,2396,2320,2396,94700,31500.0,1000000.0
1999-03-26,2366,2381,2130,2320,112100,30500.0,1000000.0
1999-03-29,2320,2351,2252,2350,20700,30900.0,1000000.0
1999-03-30,2290,2427,2290,2396,43600,31500.0,1000000.0
1999-03-31,2336,2396,2320,2396,48100,31500.0,1000000.0
1999-04-01,2625,2625,2420,2434,198400,32000.0,1000000.0
1999-04-02,2435,2435,2378,2434,7600,32000.0,1000000.0
1999-04-06,2130,2473,2130,2434,182100,32000.0,1000000.0
1999-04-07,2359,2617,2359,2617,151600,34400.0,1000000.0
1999-04-08,2511,2572,2511,2571,33200,33800.0,1000000.0
1999-04-09,2549,2556,2503,2503,18700,32900.0,1000000.0
1999-04-12,2503,2503,2359,2503,65100,32900.0,1000000.0
1999-04-13,2503,2587,2435,2510,89800,33000.0,1000000.0
1999-04-14,2518,2587,2507,2586,127900,34000.0,1000000.0
1999-04-15,2594,2738,2548,2662,307700,35000.0,1000000.0
1999-04-16,2663,2815,2602,2815,91500,37000.0,1000000.0
1999-04-19,2815,2823,2777,2815,16700,37000.0,1000000.0
1999-04-20,2777,2808,2709,2739,10200,36000.0,1000000.0
1999-04-21,2663,2739,2609,2700,22300,35500.0,1000000.0
1999-04-22,2625,2663,2549,2552,11100,33550.0,1000000.0
1999-04-23,2587,2663,2587,2609,40000,34300.0,1000000.0
1999-04-26,2556,2625,2556,2624,22100,34500.0,1000000.0
1999-04-27,2625,2625,2549,2624,30600,34500.0,1000000.0
1999-04-28,2625,2739,2587,2700,84800,35500.0,1000000.0
1999-04-29,2738,2815,2662,2662,48700,35000.0,1000000.0
1999-04-30,2666,2685,2586,2662,31100,35000.0,1000000.0
1999-05-03,2655,2853,2587,2815,209000,37000.0,1000000.0
1999-05-04,2815,2891,2739,2780,273600,36550.0,1000000.0
1999-05-06,2906,3195,2899,3195,593700,42000.0,1000000.0
1999-05-07,3309,3401,3233,3248,461000,42700.0,1000000.0
1999-05-10,3309,3385,3157,3385,249000,44500.0,1000000.0
1999-05-11,3424,3424,3234,3233,274500,42500.0,1000000.0
1999-05-12,3233,3233,2944,2978,103600,39150.0,1000000.0
1999-05-13,3013,3013,2823,2822,72700,37100.0,1000000.0
1999-05-14,2685,2739,2590,2654,94000,34900.0,1000000.0
1999-05-17,2701,2701,2472,2472,55900,32500.0,1000000.0
1999-05-18,2586,2586,2411,2411,57300,31700.0,1000000.0
1999-05-19,2548,2579,2411,2540,210900,33400.0,1000000.0
1999-05-20,2510,2564,2290,2540,140400,33400.0,1000000.0
1999-05-21,2321,2549,2321,2549,52500,33500.0,1000000.0
1999-05-24,2549,2557,2511,2549,82600,33500.0,1000000.0
1999-05-25,2587,2610,2549,2609,38400,34300.0,1000000.0
1999-05-26,2640,2700,2624,2662,50700,35000.0,1000000.0
1999-05-27,2667,2731,2617,2700,246600,35500.0,1000000.0
