한솔케미칼(014680),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
1999-01-04,7402,7442,7174,7239,68080,54165.0,6085997.0
1999-01-05,7329,7442,7076,7231,70650,54105.0,6085997.0
1999-01-06,7320,8297,7239,8296,254450,62077.0,6085997.0
1999-01-07,8866,9517,8541,9353,419170,69989.0,6085997.0
1999-01-08,8947,9354,8785,8906,194800,66642.0,6085997.0
1999-01-11,8947,10005,8622,9923,277080,74249.0,6085997.0
1999-01-12,10167,10330,9354,9760,187330,73032.0,6085997.0
1999-01-13,9761,9923,9273,9272,112090,69380.0,6085997.0
1999-01-14,9069,9069,7890,7889,117980,59034.0,6085997.0
1999-01-15,7931,8825,7931,8703,105450,65120.0,6085997.0
1999-01-18,9232,10005,9232,10004,241570,74858.0,6085997.0
1999-01-19,11306,11387,9273,10208,465130,76379.0,6085997.0
1999-01-20,10005,10127,9354,9760,142960,73032.0,6085997.0
1999-01-21,10005,10005,8947,8947,314030,66946.0,6085997.0
1999-01-22,9110,9598,8134,8337,232380,62381.0,6085997.0
1999-01-25,8215,8622,7890,7971,134320,59643.0,6085997.0
1999-01-26,8134,8378,7239,7483,141140,55991.0,6085997.0
1999-01-27,7003,8053,7003,8052,159740,60251.0,6085997.0
1999-01-28,8297,8703,8215,8703,248700,65120.0,6085997.0
1999-01-29,8663,9110,8215,8703,214330,65120.0,6085997.0
1999-02-01,8703,9029,8622,8947,158250,66946.0,6085997.0
1999-02-02,8947,10208,8703,9760,366330,73032.0,6085997.0
1999-02-03,9842,9923,8785,8784,196460,65729.0,6085997.0
1999-02-04,8947,9110,8459,8947,88940,66946.0,6085997.0
1999-02-05,9110,9435,8703,8743,123680,65424.0,6085997.0
1999-02-08,8744,8866,8541,8621,68560,64512.0,6085997.0
1999-02-09,8459,8622,7898,8296,77700,62077.0,6085997.0
1999-02-10,7971,8541,7809,8296,65350,62077.0,6085997.0
1999-02-11,8459,8459,8134,8296,31160,62077.0,6085997.0
1999-02-12,8297,8703,8297,8540,67210,63903.0,6085997.0
1999-02-18,8703,8703,8215,8296,49260,62077.0,6085997.0
1999-02-19,8053,8053,7833,7971,42850,59643.0,6085997.0
1999-02-22,7809,7955,7695,7727,23940,57817.0,6085997.0
1999-02-23,7809,8703,7809,8296,163830,62077.0,6085997.0
1999-02-24,8866,9517,8541,9516,197630,71206.0,6085997.0
1999-02-25,10249,10249,8378,8703,1132530,65120.0,6085997.0
1999-02-26,8622,9191,8459,8825,304620,66033.0,6085997.0
1999-03-02,8988,9313,8581,9069,278500,67859.0,6085997.0
1999-03-03,9069,9273,8459,8784,133600,65729.0,6085997.0
1999-03-04,8947,9110,8581,8703,123330,65120.0,6085997.0
1999-03-05,8378,8703,8378,8499,94830,63599.0,6085997.0
1999-03-08,8581,8947,8581,8865,154550,66337.0,6085997.0
1999-03-09,9029,9476,8947,9191,253600,68772.0,6085997.0
1999-03-10,9151,9151,8703,8784,68150,65729.0,6085997.0
1999-03-11,8866,8947,8703,8906,88310,66642.0,6085997.0
1999-03-12,8947,9354,8785,9069,205960,67859.0,6085997.0
1999-03-15,9354,9354,8744,8865,139450,66337.0,6085997.0
1999-03-16,8866,9435,8866,9435,254850,70598.0,6085997.0
1999-03-17,9273,9598,8947,8947,147680,66946.0,6085997.0
1999-03-18,9029,9273,8541,8581,111520,64207.0,6085997.0
1999-03-19,8581,8825,8581,8703,159780,65120.0,6085997.0
1999-03-22,8785,9923,8744,9679,213500,72423.0,6085997.0
1999-03-23,9679,10127,9395,9760,358250,73032.0,6085997.0
1999-03-24,9801,10005,9517,10004,196510,74858.0,6085997.0
1999-03-25,9923,11143,9842,10411,500800,77901.0,6085997.0
1999-03-26,10208,10533,9923,9923,117380,74249.0,6085997.0
1999-03-29,9842,10411,9761,9841,123530,73641.0,6085997.0
1999-03-30,10005,10411,10005,10248,84000,76684.0,6085997.0
1999-03-31,10249,10411,10086,10248,72390,76684.0,6085997.0
1999-04-01,10249,10574,10086,10574,94410,79118.0,6085997.0
1999-04-02,10737,10899,10289,10533,103510,78814.0,6085997.0
1999-04-06,10249,10655,10167,10574,111900,79118.0,6085997.0
1999-04-07,10655,11062,10371,10370,131460,77596.0,6085997.0
1999-04-08,10371,10493,10086,10167,81310,76075.0,6085997.0
1999-04-09,10249,10330,9842,9923,119120,74249.0,6085997.0
1999-04-12,10005,10411,9923,10167,95790,76075.0,6085997.0
1999-04-13,10330,10411,10045,10045,77010,75162.0,6085997.0
1999-04-14,10086,10330,9923,10004,92580,74858.0,6085997.0
1999-04-15,10167,10330,10086,10248,212810,76684.0,6085997.0
1999-04-16,10330,10655,9761,9760,174160,73032.0,6085997.0
1999-04-19,9842,10167,9761,9963,122260,74553.0,6085997.0
1999-04-20,9842,10899,9842,10818,378380,80944.0,6085997.0
1999-04-21,10981,10981,10371,10492,208880,78509.0,6085997.0
1999-04-22,10452,10452,9964,10248,73200,76684.0,6085997.0
1999-04-23,10411,10533,10127,10248,114700,76684.0,6085997.0
1999-04-26,10330,10737,10167,10655,196440,79727.0,6085997.0
1999-04-27,11387,11875,10981,11550,377170,86421.0,6085997.0
1999-04-28,11713,13258,11387,12607,545750,94333.0,6085997.0
1999-04-29,13014,13258,11957,12444,340130,93116.0,6085997.0
1999-04-30,12933,13096,12201,12444,220980,93116.0,6085997.0
1999-05-03,13746,14275,13096,14274,641140,106809.0,6085997.0
1999-05-04,14397,15007,13868,14315,436240,107114.0,6085997.0
1999-05-06,14316,14641,14072,14518,254760,108635.0,6085997.0
1999-05-07,14641,15007,14072,14315,183480,107114.0,6085997.0
1999-05-10,14316,14316,13746,14071,202220,105288.0,6085997.0
1999-05-11,14234,14885,13828,13868,323060,103766.0,6085997.0
1999-05-12,13828,14153,13014,13339,140550,99810.0,6085997.0
1999-05-13,13502,13746,12607,12688,159210,94942.0,6085997.0
1999-05-14,12770,13014,11835,11875,144840,88856.0,6085997.0
1999-05-17,12282,12607,11957,12038,177910,90073.0,6085997.0
1999-05-18,11143,11957,11143,11956,90140,89464.0,6085997.0
1999-05-19,12363,12526,11875,12119,139450,90681.0,6085997.0
1999-05-20,11794,11875,10940,11224,78290,83987.0,6085997.0
