인터지스(129260),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-12-16,4500,4500,3825,3825,3168269,100510.0,13138560.0
2011-12-19,3890,3890,3255,3325,1398207,87371.0,13138560.0
2011-12-20,3375,3595,3360,3455,677070,90787.0,13138560.0
2011-12-21,3580,3965,3555,3750,820955,98539.0,13138560.0
2011-12-22,3775,3800,3475,3600,691501,94598.0,13138560.0
2011-12-23,3600,3705,3600,3670,190970,96437.0,13138560.0
2011-12-26,3740,3740,3580,3600,172853,94598.0,13138560.0
2011-12-27,3610,3775,3425,3700,892560,97225.0,13138560.0
2011-12-28,3750,3950,3715,3775,478631,99196.0,13138560.0
2011-12-29,3750,3840,3715,3795,134645,99722.0,13138560.0
2012-01-02,3735,3815,3615,3665,194813,96306.0,13138560.0
2012-01-03,3725,3750,3625,3685,192813,96831.0,13138560.0
2012-01-04,3685,3975,3660,3935,572633,103400.0,13138560.0
2012-01-05,3950,4190,3900,4190,321461,110101.0,13138560.0
2012-01-06,4190,4190,3925,4000,202171,105108.0,13138560.0
2012-01-09,4000,4000,3865,3930,120942,103269.0,13138560.0
2012-01-10,3985,3985,3900,3910,81033,102744.0,13138560.0
2012-01-11,3950,4125,3865,4090,306557,107473.0,13138560.0
2012-01-12,4090,4265,4050,4090,409371,107473.0,13138560.0
2012-01-13,4075,4230,4000,4205,235240,110495.0,13138560.0
2012-01-16,4205,4290,4084,4205,183037,110495.0,13138560.0
2012-01-17,4210,4235,4150,4190,119346,110101.0,13138560.0
2012-01-18,4190,4335,4120,4185,256290,109970.0,13138560.0
2012-01-19,4195,4255,4090,4230,198708,111152.0,13138560.0
2012-01-20,4230,4400,4205,4315,181021,113386.0,13138560.0
2012-01-25,4325,4425,4245,4245,149879,111546.0,13138560.0
2012-01-26,4245,4325,4175,4250,61890,111678.0,13138560.0
2012-01-27,4190,4320,4190,4310,104650,113254.0,13138560.0
2012-01-30,4300,4350,4235,4305,80710,113123.0,13138560.0
2012-01-31,4260,4350,4235,4265,51591,112072.0,13138560.0
2012-02-01,4245,4265,4155,4155,126748,109181.0,13138560.0
2012-02-02,4160,4210,3980,4000,235007,105108.0,13138560.0
2012-02-03,3940,4020,3910,3950,121426,103795.0,13138560.0
2012-02-06,3980,4020,3845,4000,113061,105108.0,13138560.0
2012-02-07,4000,4025,3825,3870,158030,101692.0,13138560.0
2012-02-08,3935,3935,3840,3870,63776,101692.0,13138560.0
2012-02-09,3860,4110,3730,4090,235459,107473.0,13138560.0
2012-02-10,4095,4150,4035,4075,78920,107079.0,13138560.0
2012-02-13,4075,4085,4020,4065,50721,106816.0,13138560.0
2012-02-14,4080,4165,4015,4105,143946,107868.0,13138560.0
2012-02-15,4100,4385,4080,4350,389440,114305.0,13138560.0
2012-02-16,4450,4915,4405,4525,951220,118904.0,13138560.0
2012-02-17,4875,4930,4545,4815,806480,126524.0,13138560.0
2012-02-20,4900,5025,4650,4945,824868,129940.0,13138560.0
2012-02-21,5000,5050,4690,4700,407320,123502.0,13138560.0
2012-02-22,4745,4775,4500,4525,266890,118904.0,13138560.0
2012-02-23,4475,4725,4400,4660,194357,122451.0,13138560.0
2012-02-24,4660,4795,4605,4665,229476,122583.0,13138560.0
2012-02-27,4950,5350,4750,4755,2059649,124948.0,13138560.0
2012-02-28,4675,4715,4425,4575,385618,120218.0,13138560.0
2012-02-29,4600,4600,4435,4550,308033,119561.0,13138560.0
2012-03-02,4515,4525,4410,4455,138636,117065.0,13138560.0
2012-03-05,4455,4550,4350,4365,164517,114700.0,13138560.0
2012-03-06,4330,4410,4155,4225,211244,111021.0,13138560.0
2012-03-07,4090,4230,4085,4200,97721,110364.0,13138560.0
2012-03-08,4250,4255,4155,4160,115011,109313.0,13138560.0
2012-03-09,4170,4235,4125,4195,116613,110233.0,13138560.0
2012-03-12,4200,4400,4195,4330,149690,113780.0,13138560.0
2012-03-13,4355,4495,4355,4465,149041,117327.0,13138560.0
2012-03-14,4495,4535,4380,4450,56049,116933.0,13138560.0
2012-03-15,4510,4510,4350,4390,117235,115357.0,13138560.0
2012-03-16,4390,4435,4225,4310,80493,113254.0,13138560.0
2012-03-19,4310,4360,4205,4310,92608,113254.0,13138560.0
2012-03-20,4310,4415,4290,4375,140789,114962.0,13138560.0
2012-03-21,4370,4425,4280,4325,95463,113649.0,13138560.0
2012-03-22,4285,4325,4125,4245,155231,111546.0,13138560.0
2012-03-23,4175,4235,4105,4200,78400,110364.0,13138560.0
2012-03-26,4205,4210,4075,4075,126370,107079.0,13138560.0
2012-03-27,4130,4130,4050,4055,76469,106554.0,13138560.0
2012-03-28,4000,4045,3925,3965,148179,104189.0,13138560.0
2012-03-29,3960,4000,3885,4000,71326,105108.0,13138560.0
2012-03-30,4100,4350,4080,4220,147663,110889.0,13138560.0
2012-04-02,4230,4265,4125,4200,51970,110364.0,13138560.0
2012-04-03,4160,4230,4055,4130,69380,108525.0,13138560.0
2012-04-04,4075,4150,3990,4150,98066,109050.0,13138560.0
2012-04-05,4130,4215,3994,4215,33757,110758.0,13138560.0
2012-04-06,4200,4835,4150,4815,809434,126524.0,13138560.0
2012-04-09,4700,5100,4585,4945,617701,129940.0,13138560.0
2012-04-10,4950,5025,4510,4510,482068,118510.0,13138560.0
2012-04-12,4600,4775,4400,4535,320688,119167.0,13138560.0
2012-04-13,4540,4715,4540,4675,212109,122846.0,13138560.0
2012-04-16,4610,4775,4505,4750,132713,124816.0,13138560.0
2012-04-17,4750,4755,4640,4740,94130,124554.0,13138560.0
2012-04-18,4735,4925,4670,4875,185906,128101.0,13138560.0
