GS리테일(007070),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2011-12-23,19500,22400,19350,22400,7793466,1724800.0,77000000.0
2011-12-26,23100,24900,22800,23800,4323217,1832600.0,77000000.0
2011-12-27,23900,24600,22050,23900,3007931,1840300.0,77000000.0
2011-12-28,23600,24100,21950,22650,1087121,1744050.0,77000000.0
2011-12-29,22450,24000,21550,23150,1240601,1782550.0,77000000.0
2012-01-02,23700,23700,23000,23000,319397,1771000.0,77000000.0
2012-01-03,23000,23150,21600,21700,925092,1670900.0,77000000.0
2012-01-04,21800,22000,21000,21400,630677,1647800.0,77000000.0
2012-01-05,21750,24600,21150,24000,1292533,1848000.0,77000000.0
2012-01-06,23550,23800,22650,23000,542765,1771000.0,77000000.0
2012-01-09,23000,23850,22600,23450,459722,1805650.0,77000000.0
2012-01-10,23350,23900,22500,22700,475366,1747900.0,77000000.0
2012-01-11,22750,23200,22350,22500,211978,1732500.0,77000000.0
2012-01-12,22300,23200,22250,23000,299182,1771000.0,77000000.0
2012-01-13,23050,23100,22650,22900,150398,1763300.0,77000000.0
2012-01-16,22900,22900,22250,22400,200618,1724800.0,77000000.0
2012-01-17,22450,22850,22200,22300,261887,1717100.0,77000000.0
2012-01-18,22200,22300,21500,21850,295053,1682450.0,77000000.0
2012-01-19,22000,22350,21400,21400,240235,1647800.0,77000000.0
2012-01-20,21550,22250,21250,21300,327278,1640100.0,77000000.0
2012-01-25,21350,22000,20050,20400,574926,1570800.0,77000000.0
2012-01-26,20550,21900,20300,21700,583125,1670900.0,77000000.0
2012-01-27,21700,22000,21300,21650,318281,1667050.0,77000000.0
2012-01-30,21650,22450,21550,22250,403782,1713250.0,77000000.0
2012-01-31,22300,23200,22100,22900,539710,1763300.0,77000000.0
2012-02-01,22950,23700,22400,23250,404084,1790250.0,77000000.0
2012-02-02,23350,23600,22650,23500,288060,1809500.0,77000000.0
2012-02-03,23700,24600,23200,23950,444810,1844150.0,77000000.0
2012-02-06,24450,26450,23000,23400,641021,1801800.0,77000000.0
2012-02-07,23600,23700,22850,23050,252309,1774850.0,77000000.0
2012-02-08,22650,24300,22650,23350,393530,1797950.0,77000000.0
2012-02-09,23200,23350,22850,23250,241222,1790250.0,77000000.0
2012-02-10,23450,24650,23300,24150,392239,1859550.0,77000000.0
2012-02-13,24250,24550,23600,24000,240519,1848000.0,77000000.0
2012-02-14,24350,24350,23300,24100,269540,1855700.0,77000000.0
2012-02-15,24250,24300,23500,24000,131130,1848000.0,77000000.0
2012-02-16,23700,24950,23550,24700,277313,1901900.0,77000000.0
2012-02-17,24900,25950,24400,25900,262037,1994300.0,77000000.0
2012-02-20,25950,26000,24750,25500,236259,1963500.0,77000000.0
2012-02-21,25400,25700,24750,24750,71876,1905750.0,77000000.0
2012-02-22,24700,25500,24450,24450,117261,1882650.0,77000000.0
2012-02-23,24200,24700,23800,24700,132758,1901900.0,77000000.0
2012-02-24,24800,24950,24150,24900,67342,1917300.0,77000000.0
2012-02-27,24550,24950,23700,23900,124205,1840300.0,77000000.0
2012-02-28,23600,24400,23100,23900,284040,1840300.0,77000000.0
2012-02-29,23600,24250,23350,24150,269429,1859550.0,77000000.0
2012-03-02,23850,24300,23800,24000,120338,1848000.0,77000000.0
2012-03-05,23700,23850,23500,23500,103762,1809500.0,77000000.0
2012-03-06,23150,23600,22850,23000,135969,1771000.0,77000000.0
2012-03-07,22300,23650,22300,23500,91686,1809500.0,77000000.0
2012-03-08,23650,24050,23650,24050,139572,1851850.0,77000000.0
2012-03-09,24050,24350,23650,23750,64050,1828750.0,77000000.0
2012-03-12,23950,24250,23450,24050,99030,1851850.0,77000000.0
2012-03-13,24100,24800,24050,24800,111403,1909600.0,77000000.0
2012-03-14,24850,24850,24250,24400,70431,1878800.0,77000000.0
2012-03-15,24400,24700,23900,24600,95263,1894200.0,77000000.0
2012-03-16,24550,25250,24100,25100,90572,1932700.0,77000000.0
2012-03-19,25300,25300,24000,24000,93850,1848000.0,77000000.0
2012-03-20,23850,24200,23300,23450,79610,1805650.0,77000000.0
2012-03-21,23500,24100,23100,24050,111892,1851850.0,77000000.0
2012-03-22,24050,24050,23000,23150,118561,1782550.0,77000000.0
2012-03-23,23300,23300,22800,23150,77344,1782550.0,77000000.0
2012-03-26,23250,23350,22350,22500,115948,1732500.0,77000000.0
2012-03-27,22700,22850,22450,22500,41161,1732500.0,77000000.0
2012-03-28,22600,23000,22250,22600,88421,1740200.0,77000000.0
2012-03-29,22400,23350,22300,22900,68390,1763300.0,77000000.0
2012-03-30,23300,23700,22850,23550,64228,1813350.0,77000000.0
2012-04-02,23700,23850,23100,23200,44131,1786400.0,77000000.0
2012-04-03,23150,23600,23100,23250,54866,1790250.0,77000000.0
2012-04-04,23000,23250,22500,23200,79808,1786400.0,77000000.0
2012-04-05,22650,23000,22050,22150,113140,1705550.0,77000000.0
2012-04-06,22400,24200,22050,24000,176922,1848000.0,77000000.0
2012-04-09,23700,24550,23350,24100,131969,1855700.0,77000000.0
2012-04-10,24050,24500,23800,24450,92900,1882650.0,77000000.0
2012-04-12,24600,24700,23650,24000,93688,1848000.0,77000000.0
2012-04-13,24050,24450,23850,24450,50759,1882650.0,77000000.0
2012-04-16,24200,25900,23850,25900,206348,1994300.0,77000000.0
2012-04-17,25850,25900,25250,25500,65356,1963500.0,77000000.0
2012-04-18,25500,25850,24950,25650,53604,1975050.0,77000000.0
2012-04-19,25650,25650,23900,24000,223184,1848000.0,77000000.0
2012-04-20,23900,25000,23900,24550,146988,1890350.0,77000000.0
2012-04-23,25000,25000,23500,24400,118422,1878800.0,77000000.0
2012-04-24,24000,24700,23900,24100,75618,1855700.0,77000000.0
2012-04-25,24300,24300,23200,23350,81819,1797950.0,77000000.0
2012-04-26,23550,24200,23200,23900,94593,1840300.0,77000000.0
2012-04-27,23700,24050,22900,23600,94940,1817200.0,77000000.0
2012-04-30,23600,24100,22800,23850,60093,1836450.0,77000000.0
2012-05-02,23850,24000,23200,23400,44541,1801800.0,77000000.0
2012-05-03,23400,23700,23100,23100,53065,1778700.0,77000000.0
2012-05-04,23100,24200,23100,24200,98070,1863400.0,77000000.0
2012-05-07,23700,24150,23650,23850,16362,1836450.0,77000000.0
2012-05-08,24000,24550,23900,24000,37529,1848000.0,77000000.0
2012-05-09,24050,24900,23700,24900,58960,1917300.0,77000000.0
2012-05-10,24900,24900,23900,24000,88516,1848000.0,77000000.0
2012-05-11,23900,24400,23400,24300,65035,1871100.0,77000000.0
2012-05-14,23900,24400,23850,24000,22059,1848000.0,77000000.0
2012-05-15,24100,24550,23900,24450,32290,1882650.0,77000000.0
2012-05-16,24300,24300,23600,23850,41857,1836450.0,77000000.0
2012-05-17,24400,24400,23800,23950,53709,1844150.0,77000000.0
2012-05-18,23800,24200,23600,24000,66719,1848000.0,77000000.0
2012-05-21,24000,24400,23700,24250,62624,1867250.0,77000000.0
2012-05-22,24200,24400,23750,23750,42933,1828750.0,77000000.0
2012-05-23,23750,24200,23700,24050,50184,1851850.0,77000000.0
2012-05-24,24050,24300,23900,24000,24324,1848000.0,77000000.0
2012-05-25,24200,25900,23950,25900,199160,1994300.0,77000000.0
2012-05-29,25550,25650,23650,23900,259700,1840300.0,77000000.0
2012-05-30,24000,24150,22800,22900,339687,1763300.0,77000000.0
2012-05-31,22700,23400,22700,23200,144411,1786400.0,77000000.0
2012-06-01,23000,23300,22750,23050,106449,1774850.0,77000000.0
2012-06-04,22650,22650,21750,22000,137725,1694000.0,77000000.0
2012-06-05,22300,23100,22200,23050,104067,1774850.0,77000000.0
2012-06-07,23350,24100,23100,24000,211739,1848000.0,77000000.0
2012-06-08,23800,24200,23550,24000,64906,1848000.0,77000000.0
2012-06-11,24000,24600,23700,24500,89806,1886500.0,77000000.0
2012-06-12,24050,24800,24000,24650,272854,1898050.0,77000000.0
2012-06-13,24650,24900,24400,24500,53627,1886500.0,77000000.0
2012-06-14,24150,24650,23800,24000,80861,1848000.0,77000000.0
2012-06-15,24200,25050,23850,25000,209686,1925000.0,77000000.0
2012-06-18,25250,25250,24600,24900,62573,1917300.0,77000000.0
2012-06-19,24800,25100,24700,24900,39606,1917300.0,77000000.0
2012-06-20,25000,25000,24350,24400,30197,1878800.0,77000000.0
2012-06-21,24200,24500,23600,23800,60253,1832600.0,77000000.0
2012-06-22,23800,24900,23600,24800,78850,1909600.0,77000000.0
2012-06-25,24800,25300,23900,24950,48410,1921150.0,77000000.0
2012-06-26,25000,25100,24450,24500,25055,1886500.0,77000000.0
2012-06-27,23900,24100,23650,23750,1499404,1828750.0,77000000.0
2012-06-28,24250,24300,23750,23750,116253,1828750.0,77000000.0
2012-06-29,23950,24300,23850,23900,59586,1840300.0,77000000.0
2012-07-02,24150,24400,23950,24150,76671,1859550.0,77000000.0
2012-07-03,24450,25000,24150,24700,93931,1901900.0,77000000.0
2012-07-04,24700,24900,23900,23900,134832,1840300.0,77000000.0
2012-07-05,24050,24300,24050,24100,19065,1855700.0,77000000.0
2012-07-06,24000,24650,23700,23950,101620,1844150.0,77000000.0
2012-07-09,23850,24450,23800,24200,64195,1863400.0,77000000.0
2012-07-10,24200,24500,24000,24400,40345,1878800.0,77000000.0
2012-07-11,24650,24650,24300,24650,66892,1898050.0,77000000.0
2012-07-12,24900,25000,24350,24900,74785,1917300.0,77000000.0
2012-07-13,25100,25100,24300,24950,80543,1921150.0,77000000.0
2012-07-16,24900,25650,24650,25250,66128,1944250.0,77000000.0
2012-07-17,25300,25650,24600,25050,112293,1928850.0,77000000.0
2012-07-18,24900,25250,24650,24900,45442,1917300.0,77000000.0
2012-07-19,24850,25000,24000,24300,128240,1871100.0,77000000.0
2012-07-20,24400,25350,24150,24900,100535,1917300.0,77000000.0
2012-07-23,24900,25300,24900,25250,44589,1944250.0,77000000.0
2012-07-24,24800,26950,24750,26900,124176,2071300.0,77000000.0
2012-07-25,26600,26850,26100,26200,116827,2017400.0,77000000.0
2012-07-26,26800,27350,25550,26050,112022,2005850.0,77000000.0
2012-07-27,26200,26500,25450,25850,82296,1990450.0,77000000.0
2012-07-30,26050,26300,25600,25950,49453,1998150.0,77000000.0
2012-07-31,25850,26400,25300,25350,72542,1951950.0,77000000.0
2012-08-01,25350,25850,25050,25400,50791,1955800.0,77000000.0
2012-08-02,25550,25750,24550,24600,210424,1894200.0,77000000.0
2012-08-03,24650,25300,24600,25200,53290,1940400.0,77000000.0
2012-08-06,25200,25900,24800,25500,69810,1963500.0,77000000.0
2012-08-07,25500,25950,25050,25700,44812,1978900.0,77000000.0
2012-08-08,25600,25950,25250,25300,89684,1948100.0,77000000.0
2012-08-09,25500,25500,24850,24950,78467,1921150.0,77000000.0
2012-08-10,24900,25150,24750,24950,46292,1921150.0,77000000.0
2012-08-13,24950,25300,24850,24900,53669,1917300.0,77000000.0
2012-08-14,25150,25250,24900,25000,102083,1925000.0,77000000.0
2012-08-16,25000,25800,25000,25600,74067,1971200.0,77000000.0
2012-08-17,25850,26400,25600,26350,78491,2028950.0,77000000.0
2012-08-20,26250,26500,25700,26350,74402,2028950.0,77000000.0
2012-08-21,26200,26250,25650,26000,80360,2002000.0,77000000.0
2012-08-22,25700,26450,25650,26350,100373,2028950.0,77000000.0
2012-08-23,26400,27500,26300,26950,203685,2075150.0,77000000.0
2012-08-24,27200,27950,26750,27850,191660,2144450.0,77000000.0
2012-08-27,27850,29250,27550,29000,188337,2233000.0,77000000.0
2012-08-28,29400,29800,28100,29000,153949,2233000.0,77000000.0
2012-08-29,29900,30300,28900,29950,108168,2306150.0,77000000.0
2012-08-30,29550,30950,29550,30850,90001,2375450.0,77000000.0
2012-08-31,30600,30750,30000,30500,61300,2348500.0,77000000.0
2012-09-03,30450,31000,29750,30450,134280,2344650.0,77000000.0
2012-09-04,30350,30800,29150,29250,253527,2252250.0,77000000.0
2012-09-05,29300,29750,28150,28200,176823,2171400.0,77000000.0
2012-09-06,28600,29150,28300,28500,100041,2194500.0,77000000.0
2012-09-07,28600,29450,28250,29450,89650,2267650.0,77000000.0
2012-09-10,29400,29400,28450,28450,131425,2190650.0,77000000.0
2012-09-11,28400,28800,27200,28400,160514,2186800.0,77000000.0
2012-09-12,28750,29600,28000,29000,93394,2233000.0,77000000.0
2012-09-13,29400,29700,28550,28800,105067,2217600.0,77000000.0
2012-09-14,29300,29400,28650,29200,99340,2248400.0,77000000.0
2012-09-17,29400,29400,27850,28250,161096,2175250.0,77000000.0
2012-09-18,28600,28600,27900,28000,89921,2156000.0,77000000.0
2012-09-19,27900,29000,27700,29000,120562,2233000.0,77000000.0
2012-09-20,29000,29800,28650,29100,147089,2240700.0,77000000.0
2012-09-21,28950,29000,28200,28700,170795,2209900.0,77000000.0
2012-09-24,28750,28800,27900,27950,193219,2152150.0,77000000.0
2012-09-25,27900,28900,27600,28550,167460,2198350.0,77000000.0
2012-09-26,28500,30150,28500,29550,233740,2275350.0,77000000.0
2012-09-27,29550,30800,28950,30700,168762,2363900.0,77000000.0
2012-09-28,31450,31450,30000,30200,123754,2325400.0,77000000.0
2012-10-02,30500,32600,30000,32400,187174,2494800.0,77000000.0
2012-10-04,32500,33050,31600,32500,148812,2502500.0,77000000.0
2012-10-05,32800,33250,31950,32250,131228,2483250.0,77000000.0
2012-10-08,32800,33600,32300,33600,101500,2587200.0,77000000.0
2012-10-09,33650,34100,33100,33550,86204,2583350.0,77000000.0
2012-10-10,33400,35850,31750,32300,262527,2487100.0,77000000.0
2012-10-11,32250,33950,32100,32650,202585,2514050.0,77000000.0
2012-10-12,33450,34400,32750,33300,241555,2564100.0,77000000.0
2012-10-15,33400,35100,32600,32900,310670,2533300.0,77000000.0
2012-10-16,33300,34300,32050,33000,230123,2541000.0,77000000.0
2012-10-17,33500,34000,32350,32900,176093,2533300.0,77000000.0
2012-10-18,33200,33200,31150,31300,238485,2410100.0,77000000.0
2012-10-19,31550,33000,31450,32900,135258,2533300.0,77000000.0
2012-10-22,32150,33850,32100,33500,121518,2579500.0,77000000.0
2012-10-23,33750,34450,33100,33750,166999,2598750.0,77000000.0
2012-10-24,33200,35100,33200,34800,209288,2679600.0,77000000.0
2012-10-25,34800,35700,33350,33950,191492,2614150.0,77000000.0
2012-10-26,34200,34650,33350,34150,79162,2629550.0,77000000.0
2012-10-29,34400,34500,32150,32750,228328,2521750.0,77000000.0
2012-10-30,32600,33500,31650,32900,157657,2533300.0,77000000.0
2012-10-31,32900,33300,31800,31900,135384,2456300.0,77000000.0
2012-11-01,32050,33300,32000,32550,134463,2506350.0,77000000.0
2012-11-02,32400,32900,31750,32050,10012314,2467850.0,77000000.0
2012-11-05,32400,33950,32400,33200,611582,2556400.0,77000000.0
