엘브이엠씨(900140),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2010-11-30,6161,6331,5242,5242,13655870,,
2010-12-01,5149,5368,5005,5361,6257349,,
2010-12-02,5410,5798,5308,5310,5874798,,
2010-12-03,5308,5368,4760,4846,3223590,,
2010-12-06,4913,4979,4557,4702,1897807,,
2010-12-07,4810,4903,4465,4711,2170039,,
2010-12-08,4650,4760,4228,4567,3837752,,
2010-12-09,4574,4743,4541,4711,1205242,,
2010-12-10,4751,4819,4625,4685,1001071,,
2010-12-13,4810,4836,4481,4482,1035638,,
2010-12-14,4489,4599,4346,4348,829711,,
2010-12-15,4406,4498,4313,4372,982403,,
2010-12-16,4389,4465,4262,4296,768941,,
2010-12-17,4287,4330,4143,4187,871796,,
2010-12-20,4063,4101,3945,4070,744503,,
2010-12-21,4143,4362,4093,4255,900485,,
2010-12-22,4262,4389,4207,4306,564677,,
2010-12-23,4355,4362,4160,4187,614380,,
2010-12-24,4194,4313,4072,4255,407408,,
2010-12-27,4303,4768,4296,4339,2968495,,
2010-12-28,4313,4389,4165,4306,765946,,
2010-12-29,4253,4431,4203,4255,457168,,
2010-12-30,4186,4379,4173,4348,761105,,
2011-01-03,4465,4996,4439,4879,4534922,,
2011-01-04,4937,5149,4785,4981,2810045,,
2011-01-05,4954,5215,4878,5183,2027898,,
2011-01-06,5283,5291,5005,5048,1547561,,
2011-01-07,5047,5173,4920,5175,1186635,,
2011-01-10,5173,5225,5089,5200,1026395,,
2011-01-11,5242,5495,5149,5318,1943565,,
2011-01-12,5410,5654,5317,5445,2359841,,
2011-01-13,5485,5528,5283,5437,932647,,
2011-01-14,5444,5444,5208,5318,912530,,
2011-01-17,5242,5444,5166,5318,850923,,
2011-01-18,5485,5832,5242,5242,3288037,,
2011-01-19,5275,5418,5190,5352,778222,,
2011-01-20,5359,5739,5334,5699,1629567,,
2011-01-21,5621,5706,5511,5631,739739,,
2011-01-24,5663,5706,5385,5428,739562,,
2011-01-25,5351,5427,5149,5293,1164262,,
2011-01-26,5190,5503,5190,5504,611692,,
2011-01-27,5485,5520,5359,5385,487440,,
2011-01-28,5410,5697,5317,5699,888524,,
2011-01-31,5731,5857,5478,5547,1951896,,
2011-02-01,5613,5663,5351,5369,870612,,
2011-02-07,5392,5461,5063,5065,1399039,,
2011-02-08,5063,5190,4903,5023,502269,,
2011-02-09,5030,5106,4853,4871,500604,,
2011-02-10,4827,4869,4642,4660,576115,,
2011-02-11,4709,4929,4583,4888,516534,,
2011-02-14,4810,4929,4751,4837,275271,,
