동양생명(082640),시가,고가,저가,종가,거래량,시가총액(백만),상장주식수(주)
2009-10-08,15700,16300,13950,14150,4415579,1521456.0,107523390.0
2009-10-09,14300,15950,14300,15500,5937115,1666613.0,107523390.0
2009-10-12,15650,16100,15350,15750,1788574,1693493.0,107523390.0
2009-10-13,15750,15800,14950,15000,861359,1612851.0,107523390.0
2009-10-14,15000,15250,14700,14800,657085,1591346.0,107523390.0
2009-10-15,15000,15200,14750,14850,701139,1596722.0,107523390.0
2009-10-16,15000,15000,14550,14600,596363,1569841.0,107523390.0
2009-10-19,14550,14750,14400,14500,393558,1559089.0,107523390.0
2009-10-20,14700,15050,14600,15000,640879,1612851.0,107523390.0
2009-10-21,15000,15050,14750,14900,299093,1602099.0,107523390.0
2009-10-22,14800,14850,14500,14500,391866,1559089.0,107523390.0
2009-10-23,14650,14650,14000,14150,845183,1521456.0,107523390.0
2009-10-26,14250,14300,14000,14000,340306,1505327.0,107523390.0
2009-10-27,14000,14200,13950,14050,454281,1510704.0,107523390.0
2009-10-28,14100,14350,13950,14100,384037,1516080.0,107523390.0
2009-10-29,14100,14100,13750,14050,256396,1510704.0,107523390.0
2009-10-30,14200,14550,14100,14200,280772,1526832.0,107523390.0
2009-11-02,13950,14200,13850,14000,343644,1505327.0,107523390.0
2009-11-03,14200,14250,14050,14150,165592,1521456.0,107523390.0
2009-11-04,14150,14400,14100,14400,143601,1548337.0,107523390.0
2009-11-05,14250,14350,14150,14150,96522,1521456.0,107523390.0
2009-11-06,14300,14300,14100,14200,122095,1526832.0,107523390.0
2009-11-09,14150,14300,14050,14150,241436,1521456.0,107523390.0
2009-11-10,14250,14400,14100,14100,187004,1516080.0,107523390.0
2009-11-11,14100,14150,13900,14000,255029,1505327.0,107523390.0
2009-11-12,14000,14100,13900,14000,215809,1505327.0,107523390.0
2009-11-13,14050,14250,13950,14250,223087,1532208.0,107523390.0
2009-11-16,14350,14800,14350,14750,562376,1585970.0,107523390.0
2009-11-17,14950,15500,14850,15000,938423,1612851.0,107523390.0
2009-11-18,15100,15150,14850,15000,283130,1612851.0,107523390.0
2009-11-19,15050,15250,14650,14800,201455,1591346.0,107523390.0
2009-11-20,14700,14750,14450,14600,422767,1569841.0,107523390.0
2009-11-23,14600,14800,14500,14650,451965,1575218.0,107523390.0
2009-11-24,14750,14850,14500,14500,224145,1559089.0,107523390.0
2009-11-25,14500,14650,14350,14450,114079,1553713.0,107523390.0
2009-11-26,14450,14500,14250,14300,171711,1537584.0,107523390.0
2009-11-27,14200,14200,13900,14000,810234,1505327.0,107523390.0
2009-11-30,14150,14300,14100,14200,122259,1526832.0,107523390.0
2009-12-01,14300,14300,14000,14150,171895,1521456.0,107523390.0
2009-12-02,14250,14550,14200,14400,154062,1548337.0,107523390.0
2009-12-03,14450,14450,14250,14350,139851,1542961.0,107523390.0
